"CCAA","PROV","SEXO","EDAD","P1","P2","P3","P3A","P5_1","P5_2","P5_3","P5_4","P6_1","P6_2","P6_3","P6_4","P6_5","P6_6","P6_7","P7","P8","P9","P10","P11_1","P11_2","P11_3","P11_4","P11_5","P11_6","P11_7","P11_8","P11_9","P12_1","P12_2","P12_3","P12_4","P12_5","P12_6","P12_7","P12_8","P12_9","P12_10","P12_11","P12_12","P12_13","P12_14","P12_15","P14A","P14B","P16A","P16B","P18","P26","P27","P28","P29","P30","P13_dolores","impacto_raw","impacto_salud_mental"
"Andalucía","Almería","Hombre",55,2,2,2,2,4,4,4,4,4,4,4,4,4,4,3,3,2,1,2,4,4,4,4,4,3,4,4,4,3,3,3,3,2,2,4,5,4,5,5,5,5,3,5,2,2,1,1,1,2,2,2,2,2,1,169,"Baja Afectación"
"Andalucía","Almería","Hombre",34,1,2,2,1,2,3,3,4,3,4,4,3,3,2,2,1,1,1,1,3,3,3,3,3,3,4,3,3,2,5,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,1,2,2,2,2,2,1,122,"Moderada Afectación"
"Andalucía","Almería","Hombre",34,1,2,2,2,3,2,2,2,3,4,4,3,3,3,2,1,1,1,2,3,3,3,3,3,3,3,3,3,2,5,2,2,2,2,5,5,1,2,2,5,5,4,2,2,1,2,2,1,2,2,2,2,1,1,134,"Moderada Afectación"
"Andalucía","Almería","Hombre",27,2,2,1,2,3,3,4,1,2,4,4,2,4,2,4,1,2,1,2,4,3,2,3,2,4,3,3,1,3,5,1,2,1,3,4,2,1,5,5,2,4,1,2,2,2,2,2,2,2,2,2,2,2,1,133,"Moderada Afectación"
"Andalucía","Almería","Hombre",54,1,2,2,2,3,3,3,4,3,3,4,4,3,2,3,1,2,1,2,4,3,4,4,4,3,4,3,2,2,3,2,3,3,2,3,2,2,5,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,136,"Moderada Afectación"
"Andalucía","Almería","Mujer",60,2,2,2,2,1,1,1,1,1,4,3,2,3,1,2,3,2,1,1,1,1,2,4,2,4,2,1,1,1,3,1,3,1,2,3,4,2,5,5,5,4,2,1,2,2,1,1,2,2,1,2,1,1,1,111,"Moderada Afectación"
"Andalucía","Almería","Mujer",21,2,2,2,2,3,3,3,4,3,4,4,3,3,4,3,1,2,1,2,3,4,3,4,4,4,3,3,3,1,4,1,1,1,1,3,5,3,5,3,3,3,1,1,1,1,2,2,2,2,2,2,2,2,2,138,"Moderada Afectación"
"Andalucía","Almería","Mujer",25,2,2,2,2,2,3,1,1,3,3,4,2,3,3,3,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,1,87,"Alta Afectación"
"Andalucía","Almería","Hombre",20,2,2,2,1,4,4,4,4,2,4,4,2,1,1,4,1,2,3,2,4,2,4,2,4,2,4,4,3,2,5,1,1,1,1,5,5,1,1,5,1,2,5,5,1,1,1,1,2,2,2,2,2,2,2,137,"Moderada Afectación"
"Andalucía","Almería","Hombre",22,1,2,2,1,3,4,3,4,4,4,4,4,4,1,3,3,2,1,2,4,3,3,3,1,4,4,4,3,5,5,1,1,1,1,1,5,1,5,1,1,3,1,1,1,1,2,2,2,2,2,2,2,1,1,132,"Moderada Afectación"
