"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15"
"P1",-0.0858362449003955,-0.174379775575872,-0.0313386789813964,0.103344951692349,-0.103716153111698,0.00892645595388798,-0.0480044056522032,0.0798889432460198,-0.161766667283309,0.00465106564797724,0.336845361846976,-0.20624080748489,0.239975604118954,-0.451639623626348,0.0794037591653534
"P2",-0.0130273182311466,0.0693968621953416,-0.0972372035354193,0.278735199719661,0.172964001498304,-0.123956867640977,-0.0658087185816007,0.293636220908622,0.231183042867704,-0.270951608958291,0.00558005343023638,-0.0605004643811197,0.0442773524338446,0.0482298767085461,-0.13909625892634
"P3",-0.00818464865447094,0.078568111278127,0.0683712148354643,0.163149898386136,-0.490388083076066,-0.0381526762700197,-0.241040725828304,0.0670572704276509,0.149451999307458,0.112400807821809,0.0609376566068233,-0.088897431944799,-0.131725968294377,-0.0812845361205957,0.162130486297618
"P3A",-0.0310588948254786,0.00310875928527876,0.0875331816232231,0.0753818953540537,-0.427924980632832,-0.104110225908414,0.129315227569424,0.146008470424078,0.141125510173517,0.224054451316534,-0.251155504687895,0.0609107797004156,0.178843565351477,0.310954329886889,-0.187128726229222
"P5_1",-0.151161528997522,0.110197680987525,0.137686887103699,0.049266655643637,-0.0255406087406572,0.0413588355187319,-0.241376764272888,-0.0917429256232932,0.0952356954162257,-0.0555910314822023,0.180782962918013,-0.118862385925891,0.29267271634608,-0.0192399480675811,0.0511836457881959
"P5_2",-0.184683990980595,0.101716099892519,0.127687061096472,0.00420447293606419,-0.0221963082724022,0.0331702560585209,-0.19097517756022,-0.0897443512265334,-0.0308865100456739,0.00145271939714138,0.143119511166167,-0.00334829494539035,0.183323395167909,0.0812325854332409,-0.0700404152273389
"P5_3",-0.192306219215294,0.109983882249391,0.0273032705761072,-0.0301418600544422,-0.0411073277502133,0.0422519327607605,-0.0043253283024296,-0.120919875498469,0.00957958296190115,-0.0492509152980173,0.163368784455165,0.0966001332305124,-0.02390728397488,-0.0601329064420506,-0.130246304806996
"P5_4",-0.175625822292674,0.151211780284364,0.0491802988320093,0.00748506296886634,-0.0294554813745594,0.0563295623115318,-0.0863929469405088,-0.0636229107367116,0.0471490641389239,-0.0254030200483015,0.136154648175858,0.0316695744133499,0.0183848577409861,0.0717482655709467,-0.177762802253093
"P6_1",-0.160582860468056,0.0623070866712746,0.0913764309993531,0.143346405353425,0.0110355634256163,0.0623545338242151,0.116054659728689,0.095727523100887,-0.151310246302421,0.0724750710300906,0.0893290505515227,-0.0875068082836057,-0.0622004959125296,0.107763538537245,0.0600927726129876
"P6_2",-0.131603997465354,0.105460886308991,0.0996723250796265,0.0664719935318265,-0.0694457848698539,0.163619939191799,0.191516197701647,0.258020198489471,-0.145040782405506,-0.09343973056066,-0.0326112031382551,0.0131046228615528,0.232946475926368,0.0294530589463673,0.213969393837468
"P6_3",-0.156900007344508,0.166051911198983,-0.0591888818487242,-0.0510662754412694,-0.0510287641628479,0.0447223020959143,0.225847034136074,0.224764630721865,-0.0629822931837059,-0.249136195328712,-0.102500615083549,0.0369248453267371,-0.00183215197037989,0.00539270667000349,0.106003582067617
"P6_4",-0.192366859375574,0.140131027669761,0.100443221962923,0.095076097431886,0.00328645954458162,0.102178709770997,0.0633761061062333,0.0685939591923364,-0.044503461885924,-0.061858143669836,0.0853859594997921,0.0783063678369807,-0.0252316948266411,0.00782392059720238,0.0865579118018817
"P6_5",-0.175097897097333,0.0641557256081229,0.092780572374976,0.0983701985159355,0.0334458638852181,0.065549748270901,0.0670696674283096,0.0779475377226673,0.0244692891113181,0.0300531620610113,0.151208301267064,0.0200036697007805,0.0249801132861717,0.158019971137429,0.135556838142769
"P6_6",-0.132381896743667,0.0632477005693401,0.107678668731524,0.0899934591317568,0.170754525223127,-0.0345431061042671,0.0693710832153574,0.0329092562717786,0.0909095884166626,0.0525855826828599,-0.154685496242101,-0.529328687583441,-0.153699827147943,0.0173231322230744,0.0581802106978901
"P6_7",-0.145631329630938,0.0421460744139772,0.126910147933679,0.00508897855890224,0.0192965564862551,-0.136644632451125,-0.0504628597947797,0.0221852248010511,0.185077260169521,-0.152604919100435,-0.14456267706107,-0.376682740541689,-0.129339892925408,-0.0270909890182861,-0.181869800196656
"P7",-0.0786481463270919,-0.136645660357422,-0.0370843977863111,0.153521949849545,0.0631087938517568,0.0391556112204681,-0.0331894907985495,-0.192133364650368,-0.376621310973644,0.164159701708291,-0.421527726048409,-0.119416284160669,0.0497677530132961,-0.197823762530836,-0.0591867694315607
"P8",-0.127776336913114,-0.129831607699183,-0.134084271359648,0.0996402658506322,0.00512116509972568,0.266087444610422,-0.104869878834493,-0.142403554665072,0.00316651880600471,0.000154625539126002,-0.198589630441574,-0.0891893820191834,0.0477526827151816,0.0510682009735891,0.116722830220181
"P9",-0.0137747278414101,-0.0933832204427799,-0.101950514795204,-0.168911794435141,0.477078340256139,-0.0986737032577125,0.0631658371894745,-0.12115396661281,0.193904040080957,-0.0644465606875124,0.159441591792486,0.0609603827369097,0.160406789772988,0.0133228555686696,-0.0246082864115794
"P10",-0.155286747296591,0.114965619842055,-0.144825932885105,-0.0187379035802182,0.0506214438865974,0.062614691378175,0.220934041409212,0.0755537484649934,-0.0579239348898842,-0.16550272729039,-0.0908274574016034,0.105213453053707,-0.162009428510748,0.022911811129873,-0.0280250331627671
"P11_1",-0.20594827023744,0.0790204342299445,-0.00628879580482782,0.0135168028079166,0.01304538456152,0.11665609056554,0.0483476290943273,-0.075814108168162,-0.0507987912772443,-0.0114694272109503,0.0662364123959903,-0.00507658454840515,-0.111365090077468,-0.0317776365044253,-0.0164939413118236
"P11_2",-0.201445166321345,0.106475430004139,0.0883736806712758,0.0293033896541336,0.0105567447884083,-0.00892409056937541,-0.0533566972126974,-0.035660876553379,-0.0804235215197668,0.0958604495076187,0.0221218365204827,0.0239961162195864,-0.0104008855701076,0.0626145412102145,-0.000702860553387072
"P11_3",-0.199146343956928,0.0449873207578519,0.0808984043798326,0.00197986063546057,0.0191241848124057,0.0437571367262416,0.0160382533465932,-0.185781460421995,-0.0214320551059828,0.155728875785413,-0.00324332184086634,0.106070941180946,-0.0689716660544385,0.0353439354990182,-0.0185859922280238
"P11_4",-0.130069323998461,0.127473051557723,0.0167640028641233,-0.0157748433954443,0.210089211968648,-0.0961771777881838,-0.00960349917187329,-0.0313111032850309,0.0512216083949054,0.0410402478845771,-0.160292487548642,-0.135088343215537,0.293827387534108,0.131980731899125,0.252016808341767
"P11_5",-0.176511086027139,0.0190806266732924,0.0855490070834822,-0.10460434488223,0.0447865205194028,-0.0567236605678565,-0.156088340276812,-0.17703819895833,0.0333175557754851,0.140298480647565,0.0405629628290732,-0.0623329142240425,-0.0246623902410117,0.166754893533821,-0.131524676589596
"P11_6",-0.166055107883306,0.100938019402072,-0.00960921107242657,0.00596664267095673,0.111964017220083,-0.00985945701646351,0.0634750174307191,0.0692999695159378,-0.0206133818453574,-0.0146894871053252,-0.214588161586491,0.00182744328285073,0.0929538085291556,-0.134421670431064,-0.091467803070667
"P11_7",-0.201341577500392,0.133875084453338,0.0465081637014049,-0.0457551321437591,-0.0133401410180703,0.0310252244015781,0.0457179171157041,-0.0467146905763881,-0.0539683582176161,0.0297830211438706,-0.0207816739769089,0.102392633847105,-0.113006333128878,-0.0814988885921327,-0.10703778013326
"P11_8",-0.19527742918461,0.132026142377791,0.0560204590788695,-0.0494662233642308,0.068014675469831,-0.031841290916253,0.01023096116196,-0.088790255774946,0.0571251831549132,0.0865819083001796,0.0562864027597121,0.0612097621070161,-0.176284382616143,-0.0997716827445025,-0.106322117122023
"P11_9",-0.194062658462349,0.12223812260913,0.0195108098182548,-0.0441507971240091,0.0309671128017383,-0.0357171781153846,0.0332659439882214,-0.113906921089812,-0.00394981265056559,0.0991263036074222,0.0529205876498072,0.134596179238187,-0.169468013545983,-0.193854054308843,-0.00337935200726552
"P12_1",-0.138558886440412,-0.176412151038092,-0.128987196283945,0.231140947652778,-0.0178702252388837,0.162219703669176,-0.0359357102606235,-0.165418393821081,-0.0176942834010473,-0.117538841727939,-0.076854328701477,-0.0224136825195736,0.113830886155063,-0.0486854031336839,-0.114665435154093
"P12_2",-0.132557950531619,-0.178807370441692,-0.174898668604701,0.0529755643997845,-0.0417620356967846,0.280738964107473,-0.076502316653694,-0.0714014778071115,0.00207651065599977,-0.0442048012095727,-0.0525244738163031,-0.0356671663156671,0.143412422626203,0.0610473889315991,-0.0634273683878275
"P12_3",-0.149201573195864,-0.201331645661055,-0.0741328755762192,0.204740725304746,0.0586972087419555,-0.193253814032491,0.14842822121476,0.0401564791071911,0.0866234278593861,0.181774321065968,0.0937146504261737,0.0169873624395639,-0.0838282720987314,0.0240203844139882,-0.067899663611915
"P12_4",-0.149493328692494,-0.219473353734221,-0.0994588268419297,0.207565272259624,0.00771092065166583,-0.167034782222117,0.135004130508087,0.0599634894310152,0.0383170044522406,0.137664803363161,0.0820533222635075,0.0697827022799941,-0.0357417333423614,0.057825941288826,-0.101828973918357
"P12_5",-0.126350960631942,-0.234866561431179,-0.140377910894073,0.222576620418444,-0.0760691142108473,-0.145155602623612,0.0120923372072991,0.0193346276188953,-0.0493733663331611,-0.0732845302485474,0.221556357897543,0.0553086360918291,0.0027320379723297,-0.0703131981710544,-0.0531237498511803
"P12_6",-0.123504306668226,-0.202927592600001,-0.0888435309282895,0.177728939184225,0.0336503431337385,-0.170303707319432,0.214820548768654,0.0214667762242102,0.1281465670761,0.0760815356232141,0.0942255056191073,-0.0131883200411268,0.153973197272113,0.0740477047999961,-0.0686394854815481
"P12_7",-0.122476063453479,-0.207142090636497,-0.167854472354347,-0.0826080642048475,-0.0160717674339676,0.208283024709823,-0.11217583840367,-0.0511929788915751,0.14185484061693,-0.140848486094745,-0.120126090292081,0.097618918539469,0.0179159866998381,0.336242434402579,0.0192383954049922
"P12_8",-0.142940967594102,-0.202794963759113,-0.00721217006217759,-0.00834443131308434,-0.0425503028054669,0.264927085031213,0.0313317311217702,-0.0878741688309907,0.0371295640019879,-0.0334775909437174,-0.067355938791683,0.157510725189566,-0.15475472132171,0.0305028651674431,0.138954952848309
"P12_9",-0.132926291907015,-0.148146956077344,0.0612997993303399,0.0286908750285737,0.0225739997292427,-0.12857152358696,0.0373986938592741,0.153219970962408,-0.0597787749136055,0.0703151329164033,-0.0777529614829173,-0.00138539857154287,-0.240389710070119,-0.0237536085148206,0.31993094798247
"P12_10",-0.0857650502279236,-0.198072488611919,0.165299572918484,-0.390388563687278,-0.0785888967237384,0.119461307499074,0.162263989705823,0.0676783643582833,0.0786897170018231,0.0728986986937556,0.0394273158069618,-0.161681639266572,0.0290241370385943,-0.0203083067157522,-0.184480608566359
"P12_11",-0.103815506779304,-0.214934252513547,0.15416583149819,-0.373827231723379,-0.128064141965749,0.0886424173063489,0.159383019008898,0.0721950700642537,0.0429480645137179,0.0439483244118594,0.0940189454255616,-0.148556077830599,0.148493489487236,-0.0139119779255185,-0.108253560408628
"P12_12",-0.0958699085774934,-0.254249609949618,0.0642098436108546,-0.229330080612207,-0.0132674707202593,-0.0229241042561778,0.173852837029407,0.144822014464606,-0.0309414176409309,0.0546898835797934,0.0677215925703795,-0.0500087819310274,-0.0481976858504577,0.0493346801237161,0.108564098336014
"P12_13",-0.14075335793456,-0.137449258305941,0.076833140224051,-0.161214997878406,0.0841432052188838,-0.136633606587893,-0.21654539648676,0.0997410875097907,-0.0309342151086335,-0.123499965485067,-0.0306312889385685,-0.0593786060495527,0.0484013757017244,0.0195310072473038,0.347191759043904
"P12_14",-0.126453605639776,-0.166570987174819,0.0653696786023073,-0.119153021472585,-0.0604251706438291,-0.215662660260042,-0.265943757941683,0.0547096924769804,-0.102903341229448,-0.324666028385036,-0.0621378509409081,0.0079973938511412,-0.255760264530375,-0.0296255846603854,-0.128785939725642
"P12_15",-0.139171273440721,-0.193328081314136,-0.00936571102961168,-0.071387429832294,-0.0857385420964974,-0.189640460529438,-0.227288301437198,0.0307671282692167,-0.177017277060576,-0.220327993031288,-0.0313780428554368,0.033949101448242,-0.145430300297845,0.12351025397156,-0.0213882543532221
"P13_dolores",-0.107615202199628,-0.00161625972923468,-0.070517132425685,-0.0256912858985719,-0.0501694840810213,-0.0930993441907442,-0.0840188362775245,-0.157913536833482,0.440835443570973,0.113840174556828,-0.0370035043175151,0.0916808460469344,-0.0523894238147692,-0.027808662719161,0.405054438850413
"P14A",-0.153974020103333,0.0322460890269917,0.075649360376798,-0.0219363584055733,0.0241869283196816,-0.125423225583859,-0.0192717758493012,0.14627887416879,0.0783764399593332,-0.0675473276765891,-0.111776784680589,0.391111286061183,0.136136052365766,-0.0978544633009086,-0.052789957574527
"P14B",-0.112229404282846,-0.040825719001803,0.10536431976058,-0.101269784120237,-0.044187543068531,-0.209402160593812,-0.139952410680238,0.0698790845791905,0.104289733548392,0.0455477899176542,-0.336865403069635,0.222771261393551,0.319096033410189,-0.322182166944172,-0.0660625713846904
"P16A",-0.049538807529957,0.015329350855872,-0.308189690170018,-0.139545246950037,-0.0227593255256658,0.210380316959682,-0.231159372439357,0.291156222878491,0.0414495706870218,0.0552592270056539,0.117813717724186,0.0461247865052744,-0.0340035475552401,-0.041239841551401,0.042962129224206
"P16B",-0.0440770957618525,0.0083122605831463,-0.173543554805174,-0.0157105797111172,0.117916798302671,0.284062531374512,-0.123625083906787,0.313647813120941,0.342217467420258,0.280234266924492,-0.105230406587026,-0.0516720619368442,-0.177060897835904,-0.294200496735053,-0.138548128989758
"P18",-0.00494354690804319,0.0314505723378255,-0.0448209746873865,0.000190169327377081,-0.277563668287702,0.0295128410419038,0.345226906936126,-0.313115973610644,0.301272050780279,-0.444393064863987,-0.0514743316722248,-0.0880289557062638,-0.00624658070243716,-0.263807432385668,0.0572484500469109
"P26",-0.070796290704174,0.107089168822664,-0.35032826163958,-0.150550405865395,-0.126652232859773,-0.286701949737862,0.077858809279774,-0.182022153324867,-0.0468787447791909,0.115697873542536,-0.0434713033211695,-0.0841409728987531,-0.00164976479629827,0.056123452199545,0.0683449080061814
"P27",-0.0619457016890404,0.176510524327191,-0.382469736975888,-0.10112736461283,-0.140133467957349,-0.0819762135629735,-0.0608309311398715,-0.0292933400472009,-0.0120329923114319,-0.00779702803538431,0.0675631873788721,-0.190068485544444,0.0767749570395596,0.15312813586575,-0.0745893200428044
"P28",-0.0990049648960235,0.113267096882947,-0.353476707903182,-0.210887933360033,-0.0678999128985272,-0.144802819336279,0.0971371199634857,-0.0403899129914111,-0.151035815038619,0.138242315919132,0.0300823210355848,-0.0131770153571107,0.0542203922485261,-0.125851276838365,0.137953472233716
"P29",-0.109191209119301,0.16494068960302,-0.248161871917118,-0.10849997474777,-0.0429423579775524,-0.0389157966568045,-0.056208718395443,0.208665105607845,-0.137586884374224,-0.0581432118097199,-0.033034341660862,-0.0984362050792753,0.0532296456176539,0.0316936863503634,-0.14581139403777
