"","x"
"1",0.294002221341258
"2",0.0775615465734138
"3",0.0424193328958997
"4",0.0357281409886169
"5",0.0327185179840124
"6",0.0278670158317173
"7",0.0243601156404923
"8",0.0233889916631479
"9",0.0230397597344937
"10",0.0202064190828882
"11",0.0199692341285056
"12",0.0189596117900501
"13",0.0182858920314088
"14",0.0173154865359859
"15",0.0168369472137458
"16",0.0163024197568608
"17",0.0161909044185598
"18",0.0151985394766827
"19",0.0139019799253911
"20",0.0135009846539614
"21",0.0129844852801473
"22",0.0127370806080413
"23",0.0121159600971635
"24",0.011149106659212
"25",0.0106221793626167
"26",0.0100310403163095
"27",0.00977413265393242
"28",0.00953711086418453
"29",0.00941548413367175
"30",0.00930756393481124
"31",0.00849670502364083
"32",0.00826252805922647
"33",0.00812407340707274
"34",0.00765714031575027
"35",0.00734243255203827
"36",0.00688943799241655
"37",0.00680095562853892
"38",0.00643372868231184
"39",0.0058027645158271
"40",0.00574808279199588
"41",0.0054903673742047
"42",0.00527836507417451
"43",0.00506963617014758
"44",0.00471047774520924
"45",0.00464715612477542
"46",0.00437642087580552
"47",0.00420728686819955
"48",0.00383137072238666
"49",0.00360162870581005
"50",0.00344595076004352
"51",0.00309034925273816
"52",0.00284979666964608
"53",0.00241513911085791
