"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15"
"P1",0.137793837616466,0.086921246862216,0.0122882154444641,-0.0519386342117501,0.0931458071424409,-0.214084627427454,0.0506670470852968,-0.123551488090508,0.109845784382217,-0.0757373386675954,0.0403955548451474,-0.108575437356645,0.0109911338205872,0.0595423389240853,-0.377683230839383
"P2",-0.0064732063744759,0.0924918999785524,-0.223878328230657,0.120995310391352,-0.185127004220893,-0.297276872548198,-0.0907415876018758,-0.0336950067570318,0.234059028439677,0.187254589427618,0.109396801441027,-0.26123377332603,-0.182158248747634,-0.159737438422902,0.184488122944857
"P3",0.0232849068010851,-0.0969004895550423,0.207414384458582,0.431649504909268,-0.157182385743089,0.117648448008592,0.165818599581896,-0.0959290712241563,0.0586753482812324,0.0206595528962512,0.0725812206969673,-0.0402125211602231,-0.0433568908097968,-0.0773339006097787,-0.073480935867589
"P3A",0.010904235385312,-0.042265705508073,0.0823650840630195,0.427247732416726,-0.0558632550738158,-0.0186858695897267,-0.0260044172603431,-0.236730944987767,-0.0346935379301773,-0.149411272892259,0.117136131244713,-0.0843558978474427,0.274828114252859,0.0816767608824162,0.115674184138481
"P5_1",0.125361042315235,-0.132670566076645,0.208675593984044,0.181473017867803,0.0626236207171966,-0.0743529345483706,0.108250676617329,0.118907466043368,0.0247398979584203,-0.0299603172998847,0.0107006600561416,-0.0148405323872294,-0.284637353855862,0.171960829019565,-0.157115944862975
"P5_2",0.176769446301242,-0.140322594845444,0.0501520684728576,0.110290953691586,0.00865717228818128,0.0108398427160544,0.217068744581255,-0.00633209104945809,-0.107819521957323,-0.121970474542148,-0.118891600979504,-0.0522528486755524,-0.217563365699908,0.0409185519722135,-0.0879755542585568
"P5_3",0.174107237542195,-0.107840913638757,0.0188545713394201,-0.0751918886158702,-0.0870554429543251,0.0284618252454004,0.0935449491280286,-0.0193640674229779,-0.0756650840566585,-0.159569490497302,-0.231512432247413,-0.194399956608964,-0.0845301862823304,0.112524438132634,-0.008030903317197
"P5_4",0.169776975768643,-0.199397458884938,-0.0836702851396004,-0.0194691526212086,0.0837663859059474,0.00845744511764651,0.103169614263315,0.0935905559928452,-0.156234860707032,0.0763243934841354,-0.0226465139471392,-0.0352312258419189,0.0132648490379846,0.116478037657973,-0.00700193925869093
"P6_1",0.175191819818247,-0.0476350621381254,0.134594373055003,-0.106751919045953,0.0325094104448415,-0.0168242139948055,-0.0890011334380601,-0.165978614416963,0.0199160754521178,0.0384976693492008,0.1194293798844,0.0303151101336732,0.0385674039571506,0.096382953060776,0.109669829513872
"P6_2",0.124875440435793,-0.0604238526876706,0.0402858691370757,-0.0571095651522606,-0.219959341130284,-0.0950697065508074,-0.187166859757866,0.0473888009633347,0.354519765549954,-0.052110025851434,-0.120662386911659,-0.21612079351499,-0.125581272389445,0.0661228779139872,0.188392540775541
"P6_3",0.13181161096476,-0.0618230937355625,-0.0684975981584836,-0.0415810293155335,-0.203207223659215,0.246288800074595,0.00864793005100176,-0.147367735929926,0.0804612232672265,-0.00180765448574325,-0.0115335553269784,0.329553920324591,-0.123642410628329,0.0240442244970692,0.0377686175943799
"P6_4",0.188781863522472,-0.103007334305939,0.0391014747084363,-0.0599055378688732,-0.0856532784460344,-0.148166804441484,0.0160982553433594,-0.133300552060443,0.0806040066054492,-0.0319454107102661,-0.036299471503618,-0.10053833543944,0.00826914445275631,0.0453923610502453,0.307562719682067
"P6_5",0.156346057503976,-0.0239819387997267,0.0427641923156142,-0.0897362221485009,0.134724821935176,-0.00955333827219343,0.0324864543866696,-0.187573315492164,-0.155993007427559,0.206741465515737,0.140650067682791,0.0951725679945798,-0.140183856083794,0.158632216965797,0.235894496242014
"P6_6",0.146222336488307,0.0227694563731765,0.0483354137368726,-0.0621754690279473,0.272309526932122,0.0310236768316786,-0.0464770283156868,-0.232831936819099,0.0208365204038344,0.00440833100552793,0.282813414788337,0.047793177948707,-0.110964890871279,0.0754822707095576,0.106281425960122
"P6_7",0.170307797395717,-0.0243229457139613,0.088277757740454,-0.196608989251289,0.153875188541818,0.0693274255004024,-0.129403656576707,-0.105317802879141,-0.0406032030544853,-0.00204035535372221,0.227472516243029,-0.0819589765856396,-0.0425748526966147,0.173497968676786,-0.0588630942945404
"P7",0.0848824923610266,0.0901967429444995,0.0382390434783267,0.0508258832087621,-0.0345465095357843,0.270388002175779,-0.0522796332867684,0.142694676866224,0.311170905250633,0.268924973752298,0.130062710221561,-0.286351621012538,-0.0485091051674508,-0.0334571219399354,-0.249542790470482
"P8",0.125900828147896,0.124003463355556,-0.0778762138042195,0.0522672178582163,0.107651863978772,0.194576026710114,-0.0891144341005908,0.0392495410034825,0.18092119842462,-0.0386240912170686,-0.199346185691598,0.130292031829737,0.0469300700032377,0.276061423541844,0.045298329280143
"P9",-0.0233636799064341,0.0687551340556687,-0.0695383548837158,-0.379983123516457,0.0934229177520103,-0.0957933755887937,-0.267049530502342,0.228962963485229,-0.1087867971793,-0.150406138476072,0.153220987120612,-0.132139357806329,-0.115505153692919,-0.0988617335050615,-0.135687859163286
"P10",0.1464438347663,-0.058477101688063,-0.116305749617822,0.0860421145751705,-0.158492301765172,0.137165950840923,-0.187839079453981,-0.101788590849723,0.0491071045056115,0.111759790999053,0.147350974584169,0.326413305690714,-0.141875011600053,-0.278845005604768,-0.108932252526679
"P11_1",0.194216464262118,-0.138997411882311,-0.0659576942957606,0.0222121868332286,-0.0721253161251109,0.150095802175621,-0.101071579788816,0.00702255585516134,0.0308134001070077,-0.0191709387430923,-0.0620637941459741,0.0589482573882574,-0.00555772852569419,-0.198120074583343,-0.0729318877668288
"P11_2",0.196695180362646,-0.180349709239225,-0.0242592587954084,-0.0129088700950603,0.0765414603140431,-0.00852039107694851,-0.106889781419838,0.0571446157759854,0.0434444356838401,0.0523807392701413,-0.105228415384638,-0.0225756342434806,0.0904809199138404,-0.175626520950711,-0.0165671634431214
"P11_3",0.208057567175471,-0.13803908127494,-0.0377392081169571,-0.0519398910856772,-0.0178060983747985,-0.0560996528311194,-0.0997328094099455,-0.00342212999210654,0.0726822811247144,0.0861669208444147,-0.104410373493528,-0.0394330009798139,0.000300340174711471,-0.0238879754824004,-0.161587339361037
"P11_4",0.153885714128635,-0.159609222296192,0.00356036006724276,-0.0167034057990407,0.182605781672012,0.0326146690068374,0.223358300255311,0.156410323624628,0.193297537632333,0.0635070924102042,-0.122313936168257,0.0245931747631525,0.177627316160057,-0.25833685908873,0.11999610678751
"P11_5",0.195796146083942,-0.0990406694658151,-0.0581952987851512,-0.0107302901422654,-0.150869977053654,-0.0152646398627935,0.0967417584576416,0.0548837671380975,-0.116871035269467,0.0488959593904642,0.0387309174143097,0.0549761116062505,0.0464859578266659,-0.0509063057423862,0.0160762572491008
"P11_6",0.178210372807377,-0.188901486127851,0.0493917620343017,-0.00559035881896548,-0.0803554079141707,-0.127576199986171,-0.0188120038150976,0.173247933886245,-0.104019988430767,0.0332108899956381,-0.0426172155503274,0.0347304568316431,0.0127847560322492,-0.105300432127821,0.0509007411994122
"P11_7",0.194878493752096,-0.165227696804485,0.0405193868041699,-0.0924532293409292,0.0172615475435047,-0.0920717811874404,0.0972345560723101,-0.00789812880323694,-0.0196779291207048,-0.0621972006165486,-0.0251041780486101,-0.0841152204290788,0.0632296537856431,-0.0512689770798903,0.169749691181708
