"","x"
"1",0.294166381938354
"2",0.0794825651417984
"3",0.0504265223170529
"4",0.0455535379967829
"5",0.0373138285353723
"6",0.0361753318163861
"7",0.0353947980120891
"8",0.0302868731756956
"9",0.027963290500722
"10",0.02610665784921
"11",0.0244146534904768
"12",0.0200583551535033
"13",0.0192053243375373
"14",0.0186080303440272
"15",0.0165725144203941
"16",0.0159756843303753
"17",0.0151988515584414
"18",0.0141235432464395
"19",0.0136008927927794
"20",0.0130989826460886
"21",0.0124260306263558
"22",0.01123272201536
"23",0.0106090310313805
"24",0.00995730988678169
"25",0.00971765471763331
"26",0.00913483255570077
"27",0.00833287190811048
"28",0.00802959444610999
"29",0.00765054209464905
"30",0.00686732801678997
"31",0.0064949674945126
"32",0.00612568656297827
"33",0.00593069472206891
"34",0.0052639326374367
"35",0.00498460708292434
"36",0.004519215121473
"37",0.00432182122888778
"38",0.00418908957065303
"39",0.00378020583480622
"40",0.00374908883191587
"41",0.00312816632302626
"42",0.00297172255435184
"43",0.00279673031541884
"44",0.00247714272044249
"45",0.00208048305279407
"46",0.00188096648099727
"47",0.00159167433790435
"48",0.00149775194119446
"49",0.00134123380114636
"50",0.000988977312484218
"51",0.000953714583416726
"52",0.000808624761463673
"53",0.000438965825304927
