"Variable","Loading","Region"
"P11_9",-0.211071366853353,"Galicia"
"P12_7",0.208188668448959,"País Vasco"
"P11_3",0.208057567175471,"Castilla y León"
"P11_1",-0.20594827023744,"Andalucía"
"P6_5",0.205376304927832,"País Vasco"
"P12_6",0.204991069839666,"País Vasco"
"P11_9",0.204874210168894,"Castilla y León"
"P11_7",0.204812454132011,"Madrid"
"P11_7",-0.202843750434722,"Galicia"
"P11_8",-0.20246552185748,"Galicia"
"P11_9",0.20226112030844,"Madrid"
"P11_1",0.20196793845328,"Madrid"
"P11_8",0.20165510859261,"Castilla y León"
"P11_2",-0.201445166321345,"Andalucía"
"P11_7",-0.201341577500392,"Andalucía"
"P11_2",-0.200462534855673,"Galicia"
"P11_1",-0.199589359832778,"Galicia"
"P11_3",-0.199146343956928,"Andalucía"
"P11_8",0.197690286261046,"Madrid"
"P11_2",0.196695180362646,"Castilla y León"
"P11_5",0.195796146083942,"Castilla y León"
"P11_8",-0.19527742918461,"Andalucía"
"P11_7",0.194878493752096,"Castilla y León"
"P11_3",0.194505017450533,"País Vasco"
"P11_1",0.194216464262118,"Castilla y León"
"P11_9",-0.194062658462349,"Andalucía"
"P11_8",0.193272489514345,"País Vasco"
"P6_4",-0.192366859375574,"Andalucía"
"P5_3",-0.192306219215294,"Andalucía"
"P6_4",-0.191311408008663,"Galicia"
"P11_3",0.191152555262096,"Madrid"
"P11_9",0.191128880028489,"País Vasco"
"P12_1",0.189821435777277,"País Vasco"
"P6_4",0.188781863522472,"Castilla y León"
"P11_5",0.187496435419356,"País Vasco"
"P11_2",0.187316483653937,"Madrid"
"P5_3",-0.186499697697772,"Galicia"
"P5_2",0.185716487188627,"Madrid"
"P5_2",-0.184683990980595,"Andalucía"
"P12_8",0.18286696002061,"País Vasco"
"P5_3",0.182809184101001,"Madrid"
"P11_5",-0.182649059300256,"Galicia"
"P11_5",0.180244184218125,"Madrid"
"P5_2",-0.179681659443704,"Galicia"
"P12_2",0.179482243429842,"País Vasco"
"P5_1",-0.179430802298587,"Galicia"
"P6_5",0.178941440773327,"Madrid"
"P11_2",0.178575362089439,"País Vasco"
"P6_5",-0.178434744178171,"Galicia"
"P11_6",0.178210372807377,"Castilla y León"
"P6_4",0.177126850598184,"Madrid"
"P5_2",0.176769446301242,"Castilla y León"
"P11_3",-0.176644761218745,"Galicia"
"P11_5",-0.176511086027139,"Andalucía"
"P12_13",0.176482663743706,"País Vasco"
"P5_4",-0.175625822292674,"Andalucía"
"P6_1",0.175191819818247,"Castilla y León"
"P6_5",-0.175097897097333,"Andalucía"
"P5_3",0.174107237542195,"Castilla y León"
"P5_4",-0.171492266261836,"Galicia"
"P6_7",0.170307797395717,"Castilla y León"
"P5_4",0.170123187006064,"País Vasco"
"P12_5",0.170107846637712,"País Vasco"
"P5_4",0.169776975768643,"Castilla y León"
"P10",0.169518399990727,"Madrid"
"P12_4",0.168407076728054,"País Vasco"
"P11_4",-0.167794493942127,"Galicia"
"P6_1",-0.167595389555876,"Galicia"
"P5_4",0.166870715677727,"Madrid"
"P11_6",-0.166055107883306,"Andalucía"
"P13_dolores",0.165349385835884,"País Vasco"
"P6_3",0.164065474909421,"País Vasco"
"P11_1",0.162601547156839,"País Vasco"
"P6_1",-0.160582860468056,"Andalucía"
"P12_13",0.160428754954452,"Madrid"
"P12_3",0.159670191679589,"País Vasco"
"P6_7",-0.159437162598671,"Galicia"
"P5_3",0.15930295915213,"País Vasco"
"P14A",-0.159007984190295,"Galicia"
"P6_7",0.158717816861746,"Madrid"
"P12_7",0.158417846879212,"Castilla y León"
"P12_3",0.157306528312853,"Castilla y León"
"P6_3",-0.156900007344508,"Andalucía"
"P6_5",0.156346057503976,"Castilla y León"
"P6_1",0.156049801492643,"Madrid"
"P6_4",0.155960511554295,"País Vasco"
"P10",-0.155286747296591,"Andalucía"
"P12_2",0.154214810387384,"Castilla y León"
"P14A",-0.153974020103333,"Andalucía"
"P11_4",0.153885714128635,"Castilla y León"
"P12_7",0.153815411575886,"Madrid"
"P11_6",0.153571384198246,"Madrid"
"P12_3",0.153413249249445,"Madrid"
"P6_3",-0.152164201119749,"Galicia"
"P5_1",-0.151161528997522,"Andalucía"
"P12_13",-0.15065859377648,"Galicia"
"P12_14",-0.15048476671929,"Galicia"
"P6_3",0.150111086906568,"Madrid"
"P12_15",0.150003066761906,"País Vasco"
"P12_4",-0.149493328692494,"Andalucía"
"P11_4",0.149435645879935,"Madrid"
"P12_3",-0.149201573195864,"Andalucía"
"P11_7",0.148801842136237,"País Vasco"
"P12_12",0.148478711714914,"País Vasco"
"P12_1",0.148185347031751,"Castilla y León"
"P12_4",0.147703620390536,"Madrid"
"P12_4",0.147537950085109,"Castilla y León"
"P11_6",-0.147013738288855,"Galicia"
"P10",0.1464438347663,"Castilla y León"
"P6_6",0.146222336488307,"Castilla y León"
"P6_7",-0.145631329630938,"Andalucía"
"P14A",0.14553794288067,"Madrid"
"P12_14",0.144786953163068,"Madrid"
"P12_14",0.144448080854449,"País Vasco"
"P11_6",0.144251482440229,"País Vasco"
"P6_6",0.144140663385432,"Madrid"
"P12_9",-0.143288432021433,"Galicia"
"P12_8",-0.142940967594102,"Andalucía"
"P10",-0.141953337726505,"Galicia"
"P8",0.141158228563734,"País Vasco"
"P12_13",-0.14075335793456,"Andalucía"
"P12_9",0.140588636065206,"Castilla y León"
"P14B",0.139605597296989,"Castilla y León"
"P12_15",-0.139171273440721,"Andalucía"
"P12_5",0.139098127467513,"Madrid"
"P12_15",0.138995116561318,"Madrid"
"P12_1",-0.138558886440412,"Andalucía"
"P1",0.137793837616466,"Castilla y León"
"P12_1",-0.137581180688151,"Galicia"
"P6_6",-0.136805046212226,"Galicia"
"P5_1",0.136418980235329,"Madrid"
"P14A",0.136177140031947,"País Vasco"
"P12_13",0.132965590473563,"Castilla y León"
"P12_9",-0.132926291907015,"Andalucía"
"P12_2",-0.132557950531619,"Andalucía"
"P6_6",-0.132381896743667,"Andalucía"
"P6_3",0.13181161096476,"Castilla y León"
"P12_7",-0.131779406405518,"Galicia"
"P6_2",-0.131603997465354,"Andalucía"
"P12_8",0.131507177767541,"Castilla y León"
"P12_2",0.131230760950874,"Madrid"
"P12_2",-0.13122828681893,"Galicia"
"P12_6",0.131161713051887,"Castilla y León"
"P11_4",-0.130069323998461,"Andalucía"
"P12_1",0.130064977222238,"Madrid"
"P12_5",0.129250069537735,"Castilla y León"
"P14A",0.129104718034189,"Castilla y León"
"P12_12",0.128518572096747,"Castilla y León"
"P6_2",0.128432070976864,"Madrid"
"P8",-0.127776336913114,"Andalucía"
"P12_8",-0.126775766650257,"Galicia"
"P12_14",-0.126453605639776,"Andalucía"
"P12_5",-0.126350960631942,"Andalucía"
"P8",0.125900828147896,"Castilla y León"
"P14B",-0.125583144380727,"Galicia"
"P5_1",0.125361042315235,"Castilla y León"
"P6_2",0.124875440435793,"Castilla y León"
"P14B",0.124316428288777,"País Vasco"
"P8",-0.123617788966597,"Galicia"
