"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15"
"P1",-0.0992292116995931,0.122304147161409,-0.0202924851772722,0.0724464084196956,-0.107150702815371,0.110685721717358,-0.0419503325440672,0.11414405455008,-0.0490616677953677,0.189794093202659,-0.112326933447765,0.374254391039761,-0.0912119206423913,-0.0357650537000078,-0.285753816177545
"P2",-0.00700004569504065,-0.0272106253151487,-0.0919088219262896,0.0683972566203889,-0.214498810477522,-0.170926748823379,0.0785513620291726,0.29429778975482,-0.00799353583169884,-0.367084295439085,0.00756561793096986,-0.207388318926747,0.145978377853872,0.489708896730577,-0.516511138700338
"P3",-0.00353877181466106,-0.0670009371047767,0.147269213097425,0.488664097667692,0.186252132904443,0.0986894440529839,-0.137470463108706,0.0818226330753272,0.0101969600302621,0.107937719992366,0.00307640750738573,0.0476952676616138,0.080195290817023,0.125354175061022,0.00100050241308543
"P3A",-0.0255649257931747,-0.0128083926166723,0.14333498519253,0.499212788789374,0.165105931494954,-0.00962295201467417,0.0536086812362355,0.0271861300872128,0.02511208829356,0.0121671803690701,0.00667099256214131,-0.132409460523674,0.015775437874632,0.0334006295810006,0.0667354098586699
"P5_1",-0.1459509583815,-0.112354302233461,0.121088181723112,0.0292002711079532,-0.0420425799038352,0.00994231767847231,-0.258640405190163,-0.0917068192131032,0.00147699740126286,0.129101741697154,-0.0383720989453185,-0.027529912130975,-0.258174935339289,0.0572339227010396,-0.23366258708678
"P5_2",-0.180606286891939,-0.135325097293763,0.0808271685634918,-0.0545649389155207,0.0273369441434525,0.0389431953041288,-0.171393844497257,-0.0856803977494161,-0.0237195977793013,0.0997315366864447,0.0428896979077852,0.025927285563165,-0.166097601358938,0.0439047521915279,-0.16070232177968
"P5_3",-0.18618511333431,-0.131782072275306,0.0212059305445551,-0.0378338188261876,0.0548947704859936,-0.00122899538264654,0.00334255301854124,-0.0906318941076694,0.10190908283147,0.025410530956493,0.0632567874064057,0.050395959442904,-0.118409856044266,0.107421672908744,-0.129622424578762
"P5_4",-0.172896337734256,-0.162399622741257,0.034314602507317,-0.035904665429235,0.0203033544341575,0.0110366868775402,-0.0328657103650262,-0.0896438651225075,-0.0314660872151618,0.0530521744662645,0.0760831409225193,0.0592638409667089,-0.124254416783103,0.101587963267459,-0.0924132902721047
"P6_1",-0.158495774124848,-0.0449779058136339,0.117964268355722,0.0261304180015745,-0.191536657169802,0.0386291369987587,0.0704748236742237,0.0808933140553848,-0.140127426658249,0.00893091932046589,-0.170027279136627,0.130868285087689,0.0217272118360506,-0.119037878942613,0.0573057971981574
"P6_2",-0.124643613752487,-0.106827512399227,0.0792791088039196,0.0541169701497866,-0.0862966841981545,0.121481889902232,0.244515600801826,0.213574655593234,-0.0986782318885646,-0.21277681684829,-0.00693956676188684,0.128295812631826,-0.0199382017780063,-0.0377739709455003,-0.00684014995080698
"P6_3",-0.152900917956048,-0.15266027213649,-0.0261748249582178,0.0520655853723069,-0.0100129558010124,0.0720467378833241,0.271738492087329,0.0823506360687959,-0.117748294371187,-0.201068831642232,-0.0106498868817642,0.104649206033981,-0.107086100953274,-0.0296735385531126,0.182502786890885
"P6_4",-0.187234013874701,-0.114678890010327,0.0897508874180424,0.0060738754074135,-0.13645754232815,0.0387935442590887,0.0944950581212833,0.141988506157812,-0.0185042533848326,-0.057993998883803,-0.0922105458607866,0.146066864033625,-0.0619836131629409,-0.0358593303846399,0.0639310588348585
"P6_5",-0.175113440534601,-0.0415091743314533,0.0823198869887336,0.00370435194698879,-0.143570149923902,0.0205155384209638,0.0346337596736678,0.117831800001325,-0.0374418576612362,0.0471152572533177,-0.17986336836186,0.126349011337581,0.040062244866249,0.00736602764969856,-0.0352070068237235
"P6_6",-0.135600204852301,-0.0461601223475243,0.0970411485040189,-0.0349641571090583,-0.114064085004966,-0.0856678987722968,0.0187915055940362,0.00285741473051421,-0.290285932620004,0.246234779206592,-0.364632122050489,-0.191932769820009,0.176047240914157,0.145461308151073,0.151404802203092
"P6_7",-0.151641534393385,-0.047895823136609,0.133267810690172,-0.0433398230170774,-0.0325164595439842,-0.104805837707705,0.053216557352743,-0.039239658193592,-0.203097021619914,0.157691627673851,-0.347633291100616,-0.205652775021683,0.0481275258467532,0.156044849025287,0.0313302721514445
"P7",-0.0873126711491061,0.134188597001168,-0.0237464368452269,0.0474815520776246,-0.101279604389144,0.19248577875415,-0.0494712910454129,-0.235242148002653,-0.10668528400614,-0.106624823529608,0.0714538139063609,-0.194479046268595,0.254989851215696,-0.287585107911488,-0.358110141130862
