"","x"
"1",0.277006350022187
"2",0.0721950846136162
"3",0.0379014676275716
"4",0.0346729912521403
"5",0.0334009732843986
"6",0.0259882383916318
"7",0.0231950360257462
"8",0.022602123357889
"9",0.0203949705144338
"10",0.0201200336041106
"11",0.019878204852859
"12",0.0185735895381318
"13",0.0183034264144299
"14",0.017260031279436
"15",0.0164199802473614
"16",0.0160909748326913
"17",0.0151956405669401
"18",0.0146513762298811
"19",0.0141807136080723
"20",0.0136947277750076
"21",0.0131539347839736
"22",0.0126320212907196
"23",0.0120519288419493
"24",0.0116013080789066
"25",0.0109712986659307
"26",0.0106333721692219
"27",0.010398675752036
"28",0.0103416726216172
"29",0.0100456487705196
"30",0.00973415100792879
"31",0.00963353388803375
"32",0.00933145294469231
"33",0.00912349755550133
"34",0.00861317342628804
"35",0.00830504118595725
"36",0.00811767628894613
"37",0.00775544008810314
"38",0.00748552206061615
"39",0.00741218804297274
"40",0.00728511448650885
"41",0.00682077569039115
"42",0.00663056438451157
"43",0.00634336898489967
"44",0.0061438061926425
"45",0.00607612765297009
"46",0.00587147883826169
"47",0.00528333253630114
"48",0.00505774164812205
"49",0.00495394259371832
"50",0.0046767024178005
"51",0.00425602088564012
"52",0.00393853014087451
"53",0.00387391812856244
"54",0.00372110391634548
