"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15"
"P1",-0.10143029370112,0.0606736998562931,-0.064070720412287,0.071060085007609,-0.193590108145555,0.0114525768108975,-0.144856673770084,0.110099043210682,-0.0960136051914019,0.188933629896293,-0.269467244956175,0.100850696816728,-0.171201090686964,-0.00763278145704916,0.10767771541569
"P2",0.0190628756892195,0.0524812741301271,-0.0150412432288205,0.142588122980779,0.0655293622915013,0.26106585320168,0.193240372097736,-0.0371320748949052,-0.211068874677648,-0.412573150920716,-0.301706183438874,-0.356576939061089,0.0542234105427032,-0.173526863628157,0.16890154103935
"P3",0.0545856645032055,-0.0633466137968728,0.138981601754943,0.429803816554504,-0.0869734282551803,0.01727901626214,-0.0030754196394705,-0.00845891665119367,0.00683683239266096,0.145683054713171,-0.0613307371448663,-0.165733670767734,0.0935224780045283,0.302810942475547,-0.209576729228277
"P3A",-0.0153917076769725,-0.0268306536517754,0.245874350740928,0.471431334095809,-0.0742892136950209,0.0611889572065048,0.0376017254784547,0.0173261922333947,0.0629425640501736,0.104705539380534,-0.13024916031225,0.0147324954805357,0.0139387673846045,0.0682548046120814,0.064585820829589
"P5_1",-0.179430802298587,-0.108260957450234,0.0396174115415621,-0.0322412374994427,-0.0518403328557721,-0.0470370242951259,-0.101490992580104,-0.0329349993030949,0.0104067454926261,-0.145342356758535,0.339010226727361,-0.118461333200422,0.0914760811106678,-0.181612477713062,-0.120209687879714
"P5_2",-0.179681659443704,-0.133960623899871,0.0335710554403291,-0.0915865917819328,-0.00882979389254057,-0.0831195231497496,-0.141471541307309,-0.0803236218800126,-0.000179714167545031,0.0311277241929357,0.142971258962919,-0.289935312232556,0.131172607913183,-0.113011885979136,0.0101367931962108
"P5_3",-0.186499697697772,-0.145009971319542,0.0273463868868761,-0.0101621740583378,0.0532251552693574,-0.0447193343393637,-0.119642248129443,-0.175715559380298,-0.0570240667846243,-0.0733439781170762,0.0677019332824129,-0.0672343394570129,0.138361312234142,0.0281002115312371,0.00596774220251737
"P5_4",-0.171492266261836,-0.165101091164264,0.0402151563064209,0.0931396267302492,-0.0467536036925413,0.0395169680497658,-0.151475211807952,-0.16177201243083,-0.0626703602293093,0.00889739857500418,-0.0111949788500339,-0.117330392001842,-0.0881434233080085,-0.0332250628090717,-0.0676574270545798
"P6_1",-0.167595389555876,-0.0427736780058099,0.0220356141733811,-0.0842012788400133,-0.216759102848148,0.220970239107571,-0.0253945878863656,0.106320090698033,0.0501582255992277,0.135405381210911,-0.0666978823571895,-0.0965563422482161,0.107481631703097,-0.0238803920609062,-0.0276860694184336
"P6_2",-0.0786973757846653,-0.0331731149220756,0.020844761743031,0.0312247119944229,-0.0932823535625848,0.187896917003324,-0.131704147286631,-0.255062516062846,-0.388890879050057,-0.0697173009375532,-0.0832717077660503,0.341925807031027,0.215744313089576,0.233508766454922,-0.0554305527993357
"P6_3",-0.152164201119749,-0.100875975527895,-0.0377995199852755,0.0930995072223457,-0.146272843732566,-0.0955842696719105,0.0371250328878613,-0.187198335915906,0.215119958335311,-0.110371901377976,-0.188142004931023,0.0850979421180646,-0.167667176143829,0.0325016965330693,-0.00213315902399443
"P6_4",-0.191311408008663,-0.0970102424103559,0.0299542495136744,-0.0906694565728219,-0.118823105924463,0.136189938223258,0.0905012401741278,-0.0507517365784155,0.0920255319127091,-0.0395651676978128,-0.110903303533267,-0.0137097891692547,-0.119513597063757,-0.0916041417648973,-0.0353545442434267
