"","x"
"1",0.27367583383432
"2",0.0841416838937065
"3",0.0518081191100917
"4",0.0416612204794113
"5",0.039708854289827
"6",0.030684988932002
"7",0.0287472147795483
"8",0.0277328220330998
"9",0.0270981886243774
"10",0.0240187113437287
"11",0.0226585121599361
"12",0.0218835605186943
"13",0.0211369802579682
"14",0.0198589167298865
"15",0.0186264701051888
"16",0.0167803589829703
"17",0.0159232493119735
"18",0.0152558341377152
"19",0.0140543268794364
"20",0.0137459918778854
"21",0.0129459992039011
"22",0.0123427483755624
"23",0.0112551064781602
"24",0.0109380950284919
"25",0.0101790404257784
"26",0.00981054122253453
"27",0.00936646544141463
"28",0.00861741062363526
"29",0.00812644224186342
"30",0.00780864301655646
"31",0.00753253655291705
"32",0.00712115513353275
"33",0.00684712562877441
"34",0.00623301905298212
"35",0.00588599396028389
"36",0.00576924142502935
"37",0.00505669742036027
"38",0.00484347178457901
"39",0.0047451325867206
"40",0.00428751506059457
"41",0.00388392248400502
"42",0.0036573427060935
"43",0.00339947346171362
"44",0.00306148750117334
"45",0.00290526393541364
"46",0.00272732974925598
"47",0.00258657289620008
"48",0.0023517810694334
"49",0.00175300220280013
"50",0.00136814056134234
"51",0.00121453374755674
"52",0.0011111447032806
"53",0.00106578603629173
