"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15"
"P1",0.101393665194371,-0.0979549899009121,-0.0125247449385262,0.187774083191886,-0.0877649678417255,0.108556253841897,-0.122341097818899,0.00370938416951736,-0.104288700100049,0.0372752264781785,-0.167278430930278,0.331908615154222,-0.262223948431847,0.339814685524545,0.0338189621023133
"P2",0.0091976065249546,0.0736099548830177,-0.0641950958260032,0.162852771800733,-0.0178752293234867,-0.224682853366023,0.241222786943389,-0.0322395571669941,-0.12055423844152,0.0594617615730126,0.327314146683752,-0.442607514539829,-0.375761815224748,0.267995594787579,-0.0482863543265369
"P3",0.0253141226676986,0.0682275233728274,0.365956765282738,0.133526459368217,0.296462517447559,0.121718405778217,-0.156087234818057,-0.113813966392102,-0.180674721047907,0.101826321127177,-0.0404822378250635,0.154913974161328,-0.046849042436304,-0.133714284549237,0.0153926879364358
"P3A",0.0414771000080107,0.0228726454807237,0.32648072338099,0.215518089733786,0.328359562671106,0.0523723656931138,-0.181992051479328,0.0990293923110027,0.0291647854923431,0.0387593675041206,0.105881632468558,-0.0273352348410574,-0.0335659535033861,-0.0789952355517835,-0.027267526310581
"P5_1",0.136418980235329,0.102885766507032,-0.00526134831250479,-0.0431018549895952,0.027968806973588,-0.0386571784053166,-0.400627281966909,-0.0836573967514921,-0.0219470797605355,-0.244565716976875,0.0457825960143859,-0.00808713057743018,-0.0530182621711967,0.104694498957721,0.0579330019294832
"P5_2",0.185716487188627,0.147621423839731,-0.0405333671965347,-0.152611913588992,-0.0297783608825054,-0.032179841853702,-0.160685406520789,-0.0216025101726108,0.0819660746107295,-0.0440355540523931,-0.0327295571042312,0.0397685324868182,0.0365732853379252,0.107322911900639,0.0396829888440957
"P5_3",0.182809184101001,0.136008802221807,0.013436774189007,-0.0572461500887201,0.0306116409571495,-0.0243388606217611,-0.112875148240216,0.0356358617598944,0.0263534977418265,-0.0973306476240767,-0.0252429807788888,-0.0311803403124914,-0.207192682940789,-0.0760874481623426,0.115699334073413
"P5_4",0.166870715677727,0.149136747255375,-0.0707365770208876,-0.0996758833627532,0.0441800597801423,-0.0278331191325998,-0.0793527052087875,0.12873502174864,0.00496694440869493,-0.0211001579453237,-0.183088030967563,-0.090787957061272,-0.110291707780961,0.0487167637440619,0.0830316754211703
"P6_1",0.156049801492643,0.0231297338408406,-0.177554736428464,0.281419122068581,-0.00798277141392484,0.0145701922905491,0.0502514555405489,-0.00409678961769255,-0.0797227843123928,0.0364937665042696,-0.11786834328206,-0.00880631122239346,0.236453698629181,-0.0798777327779069,-0.0527384838217603
"P6_2",0.128432070976864,0.145934600228417,-0.0576282182210759,0.217560043771885,-0.0198994432268644,0.0627078869554073,0.216034823031179,-0.0960987563507951,0.026140860817083,0.0187601284210791,-0.155468351280228,-0.14973198754669,-0.169935711373128,-0.0110689765786604,-0.132124296412378
