"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15"
"P1",0.0753339204910854,-0.0847414874264533,0.0163769437864737,-0.232127162107148,0.233223395984416,-0.101211384248013,0.105750920769639,-0.266840717329285,0.0904403726906746,-0.0891366963506421,0.143019649854825,-0.116943241872587,0.179447169130864,-0.191157876559661,0.0428477065325452
"P2",0.00105540200713983,-0.0267838344782139,-0.0231076269964626,-0.30222808043767,0.101959935478969,0.192589914356551,0.0527025186816347,0.143411136851858,-0.305599834569178,-0.105508350210255,0.133436091822563,0.166963980795328,0.184410339816753,-0.0132617484239656,0.163088948379043
"P3",-0.0142655001056282,-0.0884743999810025,0.0069106229168288,-0.0903334979773039,-0.13405999908591,-0.498888289142399,0.018621500964673,-0.09173869534142,0.00417950283808559,-0.0942074068815488,0.0166301297699353,-0.00237067624765468,0.192249224889166,0.0950578576059085,-0.0823251374112076
"P3A",0.0470559466408729,-0.213410502011271,0.00641928913757226,-0.106313566759332,-0.301357688468036,-0.121641652004411,-0.136507840167302,0.206454211830955,-0.162869696885913,-0.174450541859992,-0.112782597978224,0.0586502259595846,0.0587732407913565,-0.0975452581097684,-0.110143026937016
"P5_1",0.100261677397499,-0.0227775162927247,-0.309680854298945,0.221651679232887,0.0588192431103262,0.077376775141585,-0.23946405711725,-0.0552867191252264,-0.0216920733793832,0.113502537850831,-0.147221633236974,0.12141603153713,0.0832945053426242,0.0589899471536599,0.00510730529370831
"P5_2",0.099424299865048,0.0819399637038817,-0.208584768648049,0.229049230020825,0.281793202644239,-0.0698207604971529,-0.163064555914997,-0.0212782718338017,-0.0609294862820566,-0.173750931142741,-0.0790999012629929,0.0476288238723202,0.0611147877349616,0.100804103085693,-0.14987388340824
"P5_3",0.15930295915213,0.152743643118263,-0.0160415619399215,0.156439380055911,0.0921185548066564,0.0890045621667185,0.148631544808981,-0.0368922105236799,-0.30263897328248,-0.0873825106441823,0.0748049433830172,-0.0916438074382301,0.299975616547336,-0.00854725946225915,0.00703858792498321
"P5_4",0.170123187006064,0.20693427246868,-0.0181026977871543,0.112996121620075,0.01138303136073,-0.00745735163426539,-0.0256352336158238,-0.157001398795063,0.0606133539107438,0.0275606257837238,-0.0652226359713048,0.0431134021460798,0.131897286007986,-0.27064321099242,0.120645545125793
"P6_1",0.122553539033812,-0.0907547605243467,-0.224158648231675,0.0477722881117529,0.068261384073806,0.0805323432798051,-0.203003717948744,-0.0191591019368245,-0.0258852533255534,-0.0841599401748966,-0.0231977436977379,0.182879244303496,-0.131366492170855,-0.0716718333186733,0.151851766242018
"P6_2",0.0800026159222119,-0.130905876082861,-0.205869957816314,0.00854332213143355,0.0974801889003645,-0.305466399664437,-0.155238192069198,0.0683727380786918,0.128637531110973,-0.110636912050221,-0.13251458136694,0.0534017561448648,0.0121476122550438,-0.199537506780073,-0.0922302075630287
"P6_3",0.164065474909421,0.0226877043592058,-0.167849485239296,-0.119264189628914,0.00444385541096898,0.00222148237964512,0.0586548780885947,0.299269186001041,0.104424251615376,0.149781075672657,0.0328154666445451,-0.169716680322526,0.0178989751912476,-0.263250437614651,-0.0488927629580471
"P6_4",0.155960511554295,-0.0111735033943445,-0.225820314263155,-0.128588979984825,0.20706701355259,-0.0756881565983149,0.0334059118777191,0.125312904255921,0.0475781960881176,-0.0151133302223137,0.0339251743615684,0.183654875135048,-0.113794293413976,-0.0885291646263721,-0.0403974421984112
"P6_5",0.205376304927832,-0.034246622958366,-0.097780041162412,-0.043297470815741,0.114584682174122,-0.0422808566936435,0.0672610619418351,-0.0321119151941268,0.057356040884867,0.191661618243198,0.161715494801324,0.0851875715134558,0.0438640474795142,0.0887836571965103,0.065178872773347
"P6_6",0.119829754785554,-0.0654144716041929,-0.116485867454184,0.117027658129407,-0.123813861412798,0.0675394028821479,-0.0917520578508901,0.199401144307028,-0.00552426906932387,0.09246406402436,0.231954165130824,0.102798485753783,0.0417958169607296,-0.191605114682402,-0.132762825760235
"P6_7",0.108422491470301,-0.09299288254513,-0.0813606446587964,0.150012841306911,0.0207238114760676,0.151207046156117,0.0416188797647189,0.416032900863856,-0.107517309097334,-0.15399857717043,0.118796113331979,-0.0144861739139031,0.164201344248007,-0.0486435848898132,-0.170512086141522
"P7",0.121127787502926,-0.122391232059826,-0.052751110246629,0.0684700440888525,-0.0382688070278328,0.0706769483941294,0.0697061469866491,-0.0377053917622323,0.157905674519608,-0.00463170948087022,-0.0440542062513253,0.363774329539905,-0.2479927120624,0.323389498986692,-0.111002222613266
"P8",0.141158228563734,0.0106569168207334,-0.00365164044132171,0.0826368834764752,-0.12192384040277,-0.0525167949106004,-0.231607291002153,-0.267545605497171,0.193105608525773,-0.0460812208213355,0.294123276985018,-0.0678714555495331,0.0804777316285537,0.0688649007000147,-0.0558459268488313
"P9",-0.0139657350203275,0.103344430435624,0.00587769913992867,-0.0634478050433388,0.323458024828066,0.33607222360023,0.102157485933692,-0.103130380096153,0.213872217149728,-0.0327556187731238,-0.126392742411866,-0.254984534174831,0.0220267494340742,0.0680417208409477,-0.0343938685912806
"P10",0.0265823574981435,-0.0454056045130323,-0.100525866761325,0.240611062279146,-0.204244194863585,0.0740745996288082,-0.00208630271679744,0.0518127447958839,-0.136805942313702,0.382804151360277,0.145534534242785,-0.23432149249838,0.0600341072217599,0.183552462326708,0.0844655431298424
"P11_1",0.162601547156839,0.206405779552116,0.0308557516017245,0.0808735842071113,-0.0933784037279397,0.00359306987705074,0.209230935410996,0.132914942601991,0.132236800086044,0.0586142130224627,0.0940005551396562,0.0373113542657488,-0.160975688608332,-0.138135983397654,0.155399295390301
"P11_2",0.178575362089439,0.060340339051942,-0.0142291653591086,0.120647070784264,0.0794269262029024,-0.121478439958027,0.143031145727805,0.101741690391232,-0.0463370925651618,-0.101808309788755,-0.210008280233986,-0.0644056124599758,-0.226516457119302,-0.0974010886958698,0.105708873882811
"P11_3",0.194505017450533,0.0224687174507841,-0.0745458117460416,0.0756653260825117,0.132718422021044,0.0641278554374018,0.146243561688442,-0.144949586298876,-0.00732939692531265,-0.0586568901432838,0.0841692155074484,0.205025685152954,-0.00863791753700209,-0.137585894328726,-0.111822555665095
"P11_4",0.109981523603945,0.0502339751609792,0.0340281802607756,-0.304102231301456,-0.108369870392357,0.0450617346355346,-0.140735185017686,0.121186496529491,-0.100187162118859,0.0159737796193751,-0.01969611597599,0.266224381541192,0.261932965408875,0.198924106119664,0.24394179504293
"P11_5",0.187496435419356,0.102232600260526,0.11783651199685,0.061428248086504,0.000511660002343403,-0.156763302970128,-0.0745495087000628,-0.150468802273316,-0.132890872461045,-0.0407071053611857,0.304638262930773,0.0653295867720485,-0.0177090086010755,0.0608607304519295,-0.104760310121873
"P11_6",0.144251482440229,0.213544547603323,0.0677609675195481,0.0356788874699465,-0.099562102184096,0.0687157186540906,0.134117991138974,-0.100224216516235,0.0438081560854113,-0.212839044180666,0.130804112757666,0.14854437637455,-0.0777021746218551,-0.0928181357378668,0.184554633391691
"P11_7",0.148801842136237,0.0940471073232245,-0.00617204021132748,-0.0228239842976568,-0.108016363928105,-0.114340356194547,0.324336614370585,-0.0541559562003636,-0.270409849521311,-0.068758757172281,-0.162935915225423,-0.0102697728132383,-0.0509476335781422,0.0141397935420795,-0.179091219216922
"P11_8",0.193272489514345,0.0702956380755655,-0.0773486416830629,0.046911179556198,-0.0696840029281088,-0.0563248033303664,0.0204274279546239,-0.0151016917852157,-0.195260338882584,-0.143933907725014,-0.093804537950033,-0.229758624427642,0.0401088580790776,0.111634379037592,0.121590422461076
"P11_9",0.191128880028489,0.160374119464502,0.0555533385094244,0.0136195225251697,-0.0605962919843403,0.0457371663879476,0.153281440023594,-0.0373727790673378,-0.150402542979211,0.159744509537296,0.0424131481494335,0.119066832077578,-0.131355034475761,0.0557487205401179,-0.0509151881901393
"P12_1",0.189821435777277,-0.111913314270288,0.0335093327301135,-0.158371640697704,-0.131523518442735,0.0183092675841904,-0.011587416070832,-0.077175326231251,0.197908357786558,-0.0223293460430475,0.13059357804923,-0.0488132514561509,-0.0302831269122652,-0.0886617517136635,-0.250911044121109
"P12_2",0.179482243429842,-0.0412246314221681,-0.0126740404579144,0.0421179415872977,-0.149493764562521,0.100454963540018,-0.0787857078607444,0.00633607872554444,0.164792058442274,-0.0785414210449955,0.15577613530363,-0.197961258920203,-0.0375091716092713,0.00182797946411799,0.177990046038108
"P12_3",0.159670191679589,-0.200114503576476,-0.0333736170322131,-0.0894330420166886,-0.226062114087491,0.0737052950811663,0.0820568799740676,-0.100884717420793,-0.0116822988601871,0.159751911419252,-0.0831012817943409,-0.0173280039409059,0.060912965900475,-0.0861470472342598,0.0461199897392842
"P12_4",0.168407076728054,-0.142653794905627,-0.0270383575255837,-0.127917664227514,-0.196501875449343,0.100568485584249,0.115354609957692,-0.0870548747480037,0.100235957267511,0.0349837674170892,-0.196520296016684,0.0351372824042082,0.212149386764347,0.0402780073184691,0.11008638715538
"P12_5",0.170107846637712,-0.168286035295414,0.0358499438388903,-0.130617653285882,-0.0888244906321099,0.00672540251946952,0.0308043647316586,-0.235510654629335,-0.0448992502507857,0.00241518340691872,-0.191840181265893,-0.0370323830102208,-0.0533948990913335,-0.255218740785098,0.0546416716132874
"P12_6",0.204991069839666,-0.146266013934812,0.0331458286302859,-0.0539067798255236,-0.0652561287551671,0.0759498837401356,0.0634793341146511,-0.0588234757805499,0.0501371323338885,-0.00761033945378598,-0.241977073990659,-0.0518690460439515,-0.162541297139704,0.0839447750635953,-0.0325748825607039
"P12_7",0.208188668448959,-0.0487255138126666,0.0578354099264618,-0.0195232004213743,-0.0892219119800123,0.215484438327242,-0.107389733895513,0.0419391838693194,0.167469952932682,-0.0762820150349042,0.0388006600381868,-0.0224714952018427,0.0463064476957128,0.174197355438897,-0.127964983752549
"P12_8",0.18286696002061,0.00248088040380655,0.167275714985386,-0.0777414345158768,0.118017401068512,0.0339978810267263,-0.19893246872548,0.0633276773840693,0.0275392998502357,-0.0944411732096014,-0.0719183534121364,-0.00934563826923002,-0.196618045708147,0.0338429487495801,0.0676323446158634
"P12_9",0.0963101803173869,-0.256431996039128,-0.054435427796335,0.107081627957526,0.0447973081996062,0.162003195614325,-0.0410598497654725,-0.179327655061794,-0.0710107466013692,-0.0439544471341459,0.0493219828623961,-0.222228377115317,0.19502017550954,-0.115357019963556,-0.104101056115362
"P12_10",0.051905494973548,-0.0497773715506773,0.438342851923989,0.184119744194083,-0.023011086976239,-0.0169592008106136,-0.142275005710232,0.129474014513641,0.0431742912120686,-0.050450386830685,-0.108378270811517,0.0186578245943223,0.0122999614879905,-0.177192124467581,0.0750090695625254
"P12_11",0.0610535273917491,0.054018100166556,0.3599866920791,0.281840283880946,0.00610002476974271,-0.0137271267977466,-0.246868909215122,0.0269008885612616,0.00308985309800467,0.0614054109692275,-0.143626923514972,0.0682321993106114,0.109708085843658,-0.157725522386237,0.0856864539157988
"P12_12",0.148478711714914,-0.131365465085108,0.216910597015639,-0.0280926356927161,0.287260411095245,-0.021992061943548,-0.0122847215870717,0.0941140244580635,-0.0662346568079781,-0.108848429073662,-0.134100755452618,-0.0810594355438492,0.113143322376048,0.125302662719933,0.0148476907508381
"P12_13",0.176482663743706,-0.0843093413798472,0.148864509478427,-0.0711922824035656,0.172154683485127,0.0386854648832827,-0.230634090651542,0.0368626059797201,-0.0465258009151892,0.103128602497663,0.0368542521492975,0.0533679063463417,0.0245453461784393,0.044533114173378,0.187132818963384
"P12_14",0.144448080854449,-0.0337918298213921,0.111133789432192,-0.149192479018093,0.154099596202077,-0.0529257040975394,-0.119023550293279,0.00321424970690227,-0.17683749062732,0.0699231183740159,0.242708973658455,-0.156999091786766,-0.231760449973932,0.123685849203757,-0.0972643391477327
