"","x"
"1",0.235140855095509
"2",0.0916289744213014
"3",0.0594924750271075
"4",0.047567151352936
"5",0.0445950988237094
"6",0.0417475310094998
"7",0.0384745115578678
"8",0.0348315609272901
"9",0.0313927521018266
"10",0.0298078972812391
"11",0.028792706537677
"12",0.027222521570656
"13",0.0248662238149852
"14",0.0237903635521856
"15",0.020209735245901
"16",0.0184878942666914
"17",0.0163666534831932
"18",0.0159644356090019
"19",0.0152352507918834
"20",0.0150034633099002
"21",0.0131031821846577
"22",0.0118594424802944
"23",0.0113882600645157
"24",0.0104224410893071
"25",0.00980258137047213
"26",0.00872181462498275
"27",0.0078319827290839
"28",0.00699041320083593
"29",0.00650450660064873
"30",0.005953540905299
"31",0.00529194164723356
"32",0.00502947787908445
"33",0.00481325286148539
"34",0.00421492733697505
"35",0.00375650339879801
"36",0.00355171121704758
"37",0.0030556762846226
"38",0.00295921807802974
"39",0.002450381607854
"40",0.00190334523195527
"41",0.00186084427159962
"42",0.00154190022265453
"43",0.00134490681339805
"44",0.00113268304794735
"45",0.000960821760948874
"46",0.000726191372706474
"47",0.000655887328426392
"48",0.000499607172130592
"49",0.000418558479038193
"50",0.00027665316422377
"51",0.000222101421343499
"52",8.28188361533521e-05
"53",5.43695358850943e-05
