"","Alta Afectación","Moderada Afectación","Baja Afectación","MeanDecreaseAccuracy","MeanDecreaseGini"
"impacto_raw",22.2729648577138,26.890324917764,30.1350982004294,33.7905951356873,54.4050349342954
"P11_7",10.0995177079455,1.25134537467229,8.05558352994662,10.3461606616906,5.75120628823315
"P11_1",9.97956127735452,1.33463807333307,7.9680632117373,9.9956051858339,7.4865572060622
"P11_6",7.93237191181512,-2.83023559132474,4.58824400540015,5.72355307394164,3.24390397601012
"P11_3",7.91611091410699,-0.748110387647421,7.42065385650075,8.48454810625509,6.68917978500644
"P11_8",7.24547798735289,2.00807231427727,6.81317567112814,7.80118735748021,4.33915081639914
"P11_9",7.12167316984499,1.78824924634657,5.06659615671165,7.6395118492447,3.3054393851536
"P11_2",7.08865893768819,-3.02295887762649,5.2938907035726,5.76588492357266,3.3210014842549
"P5_2",7.02372130680084,-1.24497040105689,5.22937428123786,7.19345112616839,3.27391540167487
"P6_5",6.77395705905188,-0.831580008039778,4.49375168008444,6.47227918055609,3.31921971573883
"P11_4",6.54082498800683,-1.19633915687495,1.23889871454312,4.38095162825151,1.94595887018911
"P11_5",6.08183090630101,0.360695852012627,7.20156341904944,7.19079813952358,4.18930566251427
"P14A",6.01135172961422,-3.68618640542597,4.09513948135121,4.74625155188928,1.41626876969702
"P12_3",5.88838734324384,4.97228518196841,4.29334847913634,8.07171867411277,3.98134115060128
"P12_13",5.87219934451401,0.768242277865494,5.95889049884537,6.65818283745017,3.98401448151721
"P5_4",5.77651233811967,-0.766920470279524,4.75362488804993,5.6251577712091,2.33341775292271
"P6_4",5.6534735612324,0.164941582255348,4.70644430970704,5.87309873153861,3.37801807601603
"P6_1",5.5902952080717,-0.693469041343813,1.55379580466986,3.56355059243592,1.59104338524023
"P10",5.57383826295383,-3.20849819437001,4.58780003218008,3.95531715479399,0.815707841621337
"P12_8",5.34417572112641,2.347969123682,6.51250530804658,8.33693874552613,4.27387043313929
"P6_7",5.06394407172425,-1.33990588614971,3.45325889816157,3.43971284747219,1.84569125631059
"P12_9",4.94912754422118,0.122467059868412,2.61798040043073,4.07038569553373,1.83713521464215
"P5_1",4.90845157754675,-3.14722047411879,2.28601947532221,1.90986513156298,1.01505971043299
"P12_15",4.88209699503947,4.30677101815514,6.83085098950926,8.53500204997374,3.42352913115689
"P5_3",4.5006174591594,-0.508254329154898,5.59519119031415,5.81853331246998,2.55792142541545
"P12_1",4.32128151427404,1.27233715662998,4.96573542200455,5.57271649221666,2.91837421722776
"P12_10",4.22490109528969,2.42029932818358,6.90383012114299,7.34283565267249,2.78091062369736
"P12_6",4.18139250976453,3.59481417946873,6.94486707046767,8.24541856745834,3.90362822792421
"P12_4",4.02248722486223,2.51018449463056,6.93719663286785,7.9826257946618,3.77438873097658
"P29",3.90409696364526,-0.41979837978279,2.53436180665659,2.73864720886498,0.810796318942823
"P12_11",3.85713549446465,3.21333941891069,7.57330036124156,8.22297027384803,3.61863605734685
"P6_3",3.85277638045482,-0.430691838890689,4.95781174290307,5.71118268266318,1.75384557499003
"P12_7",3.6430192075985,3.15126683973271,9.4727940919383,10.1570377706871,4.59511943045582
"P12_14",3.38967131575532,4.09413479743483,6.30330994221322,7.36047913391629,2.91033401122493
"P14B",3.1143825452127,0.539478604985311,3.05988119220743,3.38792871264335,0.825517284655013
"P12_5",3.09493380371693,4.79953119187102,5.0495872362201,6.79843490288764,1.65583937248628
"P6_2",2.82674693393909,-2.45315413243318,4.83223169189659,3.22846893714936,1.11686249252814
"P13_dolores",2.74283250558531,1.57454251342169,0.224204659057377,2.18587314383618,0.497689884726941
"P12_12",2.41961038141176,4.29547565367646,4.56769897187377,6.26436292875773,2.2048373524072
"P12_2",2.40027664442013,3.39230171707939,7.46992525080237,7.9190456362446,2.62572855254714
"P8",2.23881110001886,3.69823231516233,3.44858786822293,4.90760175232098,2.11432421269711
"P16B",1.75022430021019,0.568209314124438,1.90406328357058,2.19288510430937,0.34368271381116
"P7",1.71693248262297,-0.62321396563583,-1.90335396098548,-1.16521216006156,0.281945029053375
"SEXO",1.35561873549518,1.47645423512629,1.39825331253636,2.71297252406164,0.261964508073264
"P18",1.33273409570175,-0.0690793061113086,1.13065521514704,0.92328031990698,0.347645360982938
"P3",1.00100150250438,1.32858345824889,0.507596616580571,1.77169547174178,0.132423559266878
"P16A",0.987313147276861,-0.812415019234141,-1.0372984968536,-0.996605984313657,0.342689764515074
"P6_6",0.948558352272789,-0.261331439633143,-0.72181674290139,-0.460393091662083,0.93370805262507
"P1",0.799248840405048,2.12350975120658,1.48936481443684,2.62452810217215,0.827046362915368
"P3A",0.725831639735276,-0.208415214574965,1.00764373361632,0.607138847051747,0.434314152183908
"EDAD",0.689905583856564,-1.16636935901066,-0.0385630595407284,-0.824381568877324,1.71305481315902
"P27",0.415537147154676,-0.589342384672806,1.1301324650191,0.340487495516637,0.300337105104747
"P9",0.0848773435115887,0.171650831441076,-1.84314958253973,-0.669654492810906,0.326631879954554
"CCAA",0,0,0,0,0.038165733583086
"PROV",-0.482393293563754,-0.0279180395578288,1.77505047183932,0.684176488980361,1.03656173920725
"P2",-1.00100150250438,2.32897870369363,0.0373302431513115,1.71126189349623,0.19092805897464
"P30",-1.37457856297529,-0.298797615852219,0.838278866124984,-0.241990712845355,0.207962057006234
"P28",-1.85683642842711,-0.826749908566882,1.92133415111652,0.339260558665944,0.208008928583898
"P26",-1.91010013868617,-1.13531043145743,3.33285462600685,0.758019705766763,0.352205681920141
