"","Alta Afectación","Moderada Afectación","Baja Afectación","MeanDecreaseAccuracy","MeanDecreaseGini"
"P11_7",18.2264686846519,1.06250677783234,10.748551377652,16.4709522380146,16.684824083902
"P11_1",14.4627125156051,-2.0886448873068,13.9221183753519,15.0751360541572,22.7326287205067
"P11_8",12.6101977330906,8.48258694670259,14.9391291965896,18.1024974720536,21.8609814415982
"P11_9",12.2468012824902,4.07755100483413,12.2757936944621,14.6241615783741,18.1450533437381
"P11_6",11.6833957038474,-2.36353097790131,6.80479752208151,9.77339467419442,6.3973419516311
"P6_5",11.2555664394093,9.96902794280882,18.4292974241462,22.5837227656471,30.778379175859
"P11_3",11.2249557477703,0.204936957256034,13.4385057448526,14.850885807817,19.1057174348977
"P6_7",10.8505317864142,7.65218520182039,14.1826464611486,16.1747970813544,16.9709434744664
"P12_7",10.7586099046293,10.9203983139443,15.6140084672516,20.0244963150129,20.1471472433825
"P11_2",10.0594801206692,4.95388247877501,8.44145739792204,12.0503583517247,15.2085475737127
"P5_3",9.93243931782057,0.12946070485303,8.95452469754089,10.6543572142481,9.68799336342314
"P11_5",9.88511148168925,1.32924369396249,11.1246471518992,13.2943768073496,12.2652509568326
"P5_2",9.79744012582879,-0.345921295736418,10.4036250195837,11.3532381762942,8.2272154301291
"P12_13",9.60287202233878,8.16599335489065,14.5851458536587,18.2438985610786,18.5111241616472
"P12_4",9.32171434216441,10.1574909312825,11.4329725176719,15.1879275918686,15.2370335081193
"P12_1",9.25014973052896,11.0331480045171,11.4770035997473,15.4562044816037,16.8932045619206
"P5_4",8.96598472141803,-2.24740468757318,10.03558677701,9.3388843271028,8.27892719708251
"P12_5",8.95924824982438,7.14346989160909,8.86604754484501,13.0115387479179,8.29201284593554
"P11_4",8.9092361713958,-2.9045088021083,7.31369561355119,8.43490149640311,5.09277842311494
"P6_4",8.7577286497934,4.86479848354169,9.00124511926409,11.643812395,12.7022131969782
"P6_3",8.60994151205968,-3.45741501581941,7.91739015299402,8.46860173585351,5.14117492087514
"P12_3",8.41869824952737,6.42297280848033,9.4743600343568,13.3832448960779,10.3588323608324
"P12_11",8.25163949236258,6.6706412071211,13.6123920826214,15.8132389563697,11.2044169777928
"P14A",7.99026492185559,-0.974678184957441,6.36107560115591,7.74737302356295,4.78957567926855
"P12_15",7.95584001172334,5.05395897176607,10.701296529897,13.1099834103693,10.1733876936455
"P5_1",7.04442778948109,0.0176898136286256,5.56701928821564,7.04834527076094,4.73749459058762
"P12_12",6.76232524254207,8.9817660930673,12.6798047007903,16.1412968757638,13.2403150709851
"P12_6",6.64328775579932,12.212997761567,10.2489828762098,16.501108328148,12.4999074742881
"P6_6",6.24020365993274,3.07407603215341,5.90005549423668,8.4294081065154,5.69645772731431
"P12_10",5.95199011723759,5.77498961289538,15.2246597091868,15.8118819641471,11.5847995437982
"P29",5.85881030837758,-2.61223994623342,3.35671731261123,3.1437448195428,1.48971877111337
"P12_2",5.4695978162338,3.22267805485899,13.5111651242935,13.7944235533633,11.3782804194847
"P12_9",5.12256710775509,5.39255575652806,6.72527078181813,9.34135701454626,7.28586953353387
"P12_14",5.03153844207133,8.19321376766706,8.57878749588292,12.6028285139233,10.3614712580396
"P6_1",5.00845006485981,1.14275802461595,7.16149918705028,7.85158258180834,5.50235814751129
"P12_8",4.94480997812984,9.70724408902769,11.3798996061463,14.9943214876768,12.8879742862196
"P14B",4.9390339465004,5.56674485035748,4.28127116773936,7.65282639988404,3.88697983423405
"P30",3.94064477334643,-2.20021289895808,3.74745811994264,1.98216147272388,1.05048725036816
"P8",3.91193560831647,6.333938033426,6.57122279043647,9.04467140457085,5.82894471146103
"P7",3.84604326922068,5.28282077842556,4.07055690607245,7.11419607343561,3.23198610530465
"P1",3.82165916588802,3.9484141953004,2.07743238984717,5.77484333286121,3.96105076880192
"P10",3.75125128526319,-0.261203507740437,6.96452971058394,6.8660389843636,1.66659890675733
"P6_2",3.564040593943,-0.855684954276475,7.47364469129548,6.64251544305621,3.0548849661886
"P27",2.65834180859466,-2.37283317521216,0.745684528244848,-0.450234157002211,1.07585542526119
"P13_dolores",2.34062562989594,1.70585764310075,-0.0514720115473228,1.64490421332164,1.46564486498679
"P16B",1.76579328204884,-0.36231182411097,1.82218963135557,1.46608622891939,1.76232818386066
"P3A",1.60620150818666,-0.323630704544362,-0.840720504988199,-0.123638302613778,1.58055207577836
"P28",1.38828202538004,-0.692503348022238,1.09562074505167,0.305090553169748,0.676626820992438
"P16A",0.791847236875962,2.67974260011467,2.60567414310814,3.77403058146166,2.08995280384427
"P9",0.173261785808391,0.931539408171887,-0.20846010425834,0.670240206996411,1.73613933375616
"P26",-0.171976258268689,0.0772980067285829,0.763579708195388,0.52128336431515,1.08482612835611
"P2",-0.496388244320742,-2.15228185183835,-1.87886974448567,-2.96115920255031,0.632732008396665
"P3",-1.60412637744,1.34695873103142,0.992501690258339,1.14740817033109,0.906127828329305
"P18",-1.77210305375771,0.414235828077017,-0.311025303679932,-0.430827583542967,1.56125412342527
