"","Alta Afectación","Moderada Afectación","Baja Afectación","MeanDecreaseAccuracy","MeanDecreaseGini"
"impacto_raw",11.6030684143717,19.8214798250315,19.8565538563823,22.3214259476302,15.2068821097609
"P6_3",6.80110895566391,-0.671483536570619,1.81763158905229,5.43085931311438,1.15994525905078
"P6_6",6.68745933509144,1.5321801495566,1.2814360511221,5.18764587978032,1.49053278847321
"P11_7",6.65425249847236,0.55720419986918,3.25663041115656,6.06302770124595,1.47014933713053
"P11_1",6.65236921906141,-3.01830600364437,3.18817081503948,2.80158576687287,0.90985274268639
"P11_9",6.34534827376816,4.70560911120582,5.0613860090165,7.77008986363679,2.77410732789376
"P5_1",6.07131582682135,2.73320570538492,2.47357318436533,5.43026100377932,1.77374886585543
"P6_7",5.65007054649925,-1.28830773345771,3.88761504812722,3.73855669160792,1.44335049483644
"P5_3",5.31916419768075,1.65946257231524,6.30126901253007,6.85486100561318,2.59304429220076
"P12_14",5.12575977568758,5.56287980353222,4.6700115995263,6.9383560501413,2.94872566435043
"P11_8",4.44868118937959,3.80930496155809,4.45645375525702,6.55799929532637,1.60120212028353
"P11_2",4.06241169914336,0.229300654759834,1.6517669207694,3.27332808233005,1.49643718941645
"P12_13",3.71935613106618,2.33348139322893,4.41979214434732,5.22500558950055,1.56136682981204
"P5_4",3.59203717029792,1.49124260831681,4.7116377305699,5.17269794131517,1.03519106387715
"P8",3.30501690629373,1.33135582361333,2.03929401890477,3.37666052061968,0.522857857188199
"P12_5",3.21685212459602,0.412286605895284,2.88579548936676,2.87129490647611,0.699673945004821
"P11_5",3.14575458012046,-0.285795070793066,5.69879543176209,4.93407180140447,1.12304345245034
"P6_4",3.11360893792219,-0.879820590922787,1.91079349053993,1.93365065723447,0.747598321032355
"P6_1",3.09740098581299,-0.619251920535943,4.36079397907152,3.89011514791739,0.72640640829859
"P6_5",3.06883530615335,5.40775262572296,7.07883186470017,8.81830293625773,3.02413770802929
"P5_2",3.00569276092264,0.366424815025462,2.9336546684915,3.27374543589504,0.735256485607347
"P12_9",2.92028123066438,5.43844541030872,1.87204784615915,6.02317097173964,1.1815369385892
"P27",2.63571915837893,1.41629315742258,1.00100150250438,2.99830676254546,0.313675466991228
"P12_6",2.40423518417172,-0.153972418146419,0.383003301011333,0.72233358713418,0.599980937976626
"P1",2.36173014320483,-1.32336269183601,0.357637308972765,0.691901636305394,0.293114627671642
"P12_12",2.3306528915615,3.69521539400303,4.04994023242122,4.95469863012538,1.12804061618117
"P12_3",2.30746475828509,2.26122990092038,2.6559886100987,4.10443252653916,0.752367245213433
"P12_4",2.28786031666463,1.29892424933658,2.84735730284575,3.46967365429256,0.805384632492773
"P11_4",2.17191797298414,0.386385429978228,3.55735081839634,2.75582591960944,0.541827767580264
"P14A",2.13023781337472,0.858469602419837,3.56283640659406,3.31744602474586,0.595426556964951
"P12_7",1.85773478315087,1.09566410741425,3.61612897283458,3.83095065099209,1.03044583683494
"P28",1.65958391281122,-0.611663917313006,-1.00100150250438,-0.231090011542709,0.0813129685649055
"P11_3",1.55605511022369,-0.838230131875361,3.54657452957209,2.63492377013819,0.758402702952216
"P12_10",1.4957401540195,-2.21152669639489,1.13437945370439,-0.273742553861904,0.576019555892837
"P29",1.47763531141385,-2.08381046175587,1.73291748303345,-0.217018797892372,0.11289099889294
"P13_dolores",1.41705050316284,1.78663256910469,1.79552556354732,2.85441287591378,0.329272699229333
"P12_15",1.13739221942216,2.17561623067953,2.75873871180596,3.61847832134309,0.688951375794018
"P12_2",0.819481524024219,-0.0397660698653829,2.65575577622601,1.96433201178808,0.696935985471269
"P7",0.713816045884939,3.52059520571692,1.99474425549798,4.24992914672609,0.656581231220832
"P12_1",0.400753102143455,1.5147845116291,0.0519717380245024,1.45478231575827,0.793644728301617
"P14B",0.26174229721986,0.172175170750443,0.501993162546444,1.08098174552839,0.373904456574673
"P11_6",0.249151904642163,-0.794837396814381,3.81908960715558,2.1997385805499,0.362543265469336
"EDAD",0.0223690809425073,-2.0377911314508,0.216038809010348,-1.45793903175557,0.819486843762924
"CCAA",0,0,0,0,0
"P2",0,1.71422297866542,0.318485030106517,1.25753097345647,0.0582608447317946
"P3",0,1.19225196716999,0.872964781352275,1.44216932634984,0.0671137114065686
"P3A",0,0.431082662545491,-0.954273712237996,-0.522125310372443,0.0959241104612065
"P6_2",0,1.72658611592762,2.14945197574437,2.49990157170835,0.11245763308557
"P16A",0,-0.163907177788971,0.045496864619739,0.17352886839927,0.110576565433708
"P16B",0,-0.756296775182727,0.812030169190431,-0.00223084444243291,0.121852593076513
"P26",0,0.302920849476486,0.463287477022279,0.825146343219101,0.069787166693233
"P10",-0.208523480492458,-0.145083335140098,2.24155755732915,0.989940592228299,0.148773559443024
"P12_11",-0.46735876752542,0.769097255402527,3.41944179519725,2.65916194126759,1.438764933646
"PROV",-1.00100150250438,-0.784108047707811,-1.34191207479926,-1.3931920171638,0.205771160540539
"SEXO",-1.00100150250438,-0.915369089196982,1.46226334291574,-0.174296902964206,0.139767885045661
"P30",-1.00100150250438,-1.00100150250438,1.73190114356636,-0.0228835088723735,0.0994693716184515
"P12_8",-1.21827558530584,5.32205168661507,4.76640103266226,6.3006893570136,1.77821268116148
"P9",-1.41705050316284,1.01586331068363,-0.657932582786883,0.0391739207049126,0.178326271103794
"P18",-1.65347180198358,1.02102705537311,-0.0700322067150881,-0.435448964884916,0.100469317936965
