"","Alta Afectación","Moderada Afectación","Baja Afectación","MeanDecreaseAccuracy","MeanDecreaseGini"
"impacto_raw",17.7563009268663,27.1603864027257,27.1324455359199,30.6812924046241,42.4690070278136
"P11_7",9.05806256992805,0.750655611463257,5.38516764537726,7.87573399063795,3.76220173721191
"P11_8",7.60609117759128,3.53723395324316,5.85585346399375,7.66022671607721,5.95171729836308
"P12_7",7.43069167716904,3.36086445390996,5.47521226687377,7.93414724005613,3.27481016298963
"P5_4",7.13692549687995,0.325720856722512,6.91852491754172,8.00265748004635,5.18448311669367
"P6_4",6.86838196982693,2.94293255039624,5.38877579766,8.17508019003454,4.07094791929258
"P11_5",6.66512550197167,-0.777817237574362,4.61627880087132,6.40603798417185,1.86510017585731
"P6_7",6.58780593797701,3.06284768876294,5.31527083405098,6.36679770115594,3.70794125116324
"P5_2",6.53140724096973,1.03184399963124,5.11830949600799,5.9692124764317,2.58217166854117
"P6_5",6.4755549258989,4.81264410602029,8.4421774244311,10.7264606701218,5.95905188903553
"P11_1",6.45090810458017,1.40754914054583,7.13858644987556,7.60308146247906,5.57905430671439
"P11_3",5.53955476350001,1.3649979058083,5.64577729759912,6.16327094865164,4.07787255474262
"P12_13",5.50275241327791,3.96593420241569,7.62409392648154,9.26954613568896,3.60689166425233
"P12_4",5.22129102253679,5.58406760367706,2.83018203757222,6.80138173212783,2.47524839418648
"P5_3",4.9400510833938,-2.20285906966626,4.82819772138477,4.61513504024703,1.43114341435767
"P11_6",4.75540803369391,-3.77419688238376,1.76366309471844,1.09194634518553,0.901491426949883
"P12_3",4.7043151860915,4.86901540123808,2.32293121960092,6.11252584139129,2.15828894555652
"P11_2",4.64047616244059,2.65033914442914,4.55341619022815,5.78680947529872,3.70007805364105
"P12_5",4.4750812952656,2.64807432734075,2.81799380780374,5.0047636284562,1.46250177658262
"P11_4",4.44805654719127,-2.27590237354446,3.57569425298031,2.96056436718488,0.933687272747168
"P6_3",4.34144136621365,-3.52276467522495,4.12390923586944,3.12780598236089,1.10943441384308
"P11_9",4.17590664850486,3.01660908952045,5.12474417940325,6.87690440697593,4.1364088930964
"P5_1",3.72854411659686,0.286036044253456,1.63940007578791,3.02851557468,1.12511841843969
"P6_6",3.67040493667812,0.605534233123869,4.42675299939018,4.22839891372154,1.2170222254848
"P12_15",3.47506356213368,0.796114594817214,3.91549502912137,4.7048394754186,1.64798758366702
"P1",3.40494210985165,-0.342212317065847,0.60325815337638,1.31407116249567,0.716335475912275
"P12_14",3.16369107381708,1.56396581458387,2.59377363475354,3.93036339635768,1.63139366352481
"P14A",3.00970962586172,-1.1806096783842,3.26106109968782,2.71090462140013,1.03914363613027
"P10",2.89037895826337,-0.641418258995749,4.34570628780763,4.38355560475156,0.715899861490786
"P12_6",2.86722078460491,4.28110617178613,2.79187969020741,5.5173895299752,1.58828100972054
"P30",2.61648090162662,-1.98635553688426,1.40552734197444,0.231827312999478,0.292585478295203
"P12_2",2.5341854127773,-0.555751948231611,5.47983152363882,4.79997116516731,1.8218736384962
"P12_1",2.19640858355312,5.87648725256888,3.53621222859808,7.56565359433577,3.04817576613409
"P6_1",2.1281054761561,0.552916350078548,2.56359449219332,3.22970205787631,1.16173271610848
"P8",1.96204473124327,1.05484781587139,2.5691473244138,2.8056099142938,0.72263907048979
"P12_11",1.82237428047158,4.35809452487446,3.75952079612428,5.65024405684103,2.24583656815659
"P6_2",1.74515661426677,0.629767768067912,4.26593671090698,4.34048777054023,0.836682059783335
"SEXO",1.71280492931039,-0.414776738165087,-0.32611478736774,0.253182833315345,0.212290939701278
"P7",1.52716690205936,3.63886940904239,2.64875709679675,4.36035310131027,0.642330042420826
"P27",1.46632431521175,-1.21939422403313,-1.41697168749681,-0.960787128876154,0.169480409965216
"P3A",1.38925479902269,-0.438902231301176,-0.42866210859356,0.0579511363918179,0.299470480953352
"P28",1.31533410441164,-1.24013175083082,1.00100150250438,-0.249516505826731,0.0870732644687308
"P29",1.25689942277562,-1.94420507480916,2.18907737405348,-0.318053958578264,0.261297768589299
"P18",1.22240581366233,0.80314217037979,0.380273622400672,1.04438366396333,0.266458322214761
"P26",1.11770631425114,1.28265548315543,-1.42117942977874,0.572782734852684,0.168804340090294
"P13_dolores",1.00100150250438,1.18500877356728,-1.0320649755726,0.403762743903382,0.146969883518456
"P12_10",0.927997895103512,4.47148249032967,8.12694958427198,8.73166336040014,4.84644426433492
"P12_9",0.884630022567677,4.15532997830796,3.79541554316768,5.41839781915176,1.54602789365251
"P14B",0.772636648790259,1.17334812720453,0.685382343764359,1.63118868895521,0.541616235611838
"P12_8",0.689583303440454,3.72996941417233,4.46809320130038,5.55388558294637,1.70617525477745
"P12_12",0.33184379094188,4.00523747880133,3.30552663097312,5.34043499743066,2.32292648751805
"P9",0.231532042829675,0.794063602089097,-1.96144517896482,-0.365742990097115,0.310964789293924
"CCAA",0,0,0,0,0.00266666666666667
"PROV",0,0,0,0,0.00945807345807346
"P2",0,1.04380715745612,-0.764396303170439,0.0127406960875516,0.0599713151911214
"P16B",-0.374686915960884,0.864156945835877,1.08981313835488,1.2503050999529,0.318027487825536
"EDAD",-1.19214666858401,1.29315056597712,-0.856839330171227,0.427206529313302,1.20464869517497
"P16A",-1.32657273597361,0.996642398049394,0.163147223410217,0.495288101456463,0.262023886411411
"P3",-2.16239092437842,-0.0794632330293527,1.59606497667341,-0.429268073160363,0.183884814547313
