"","Alta Afectación","Moderada Afectación","Baja Afectación","MeanDecreaseAccuracy","MeanDecreaseGini"
"CCAA",0,0,0,0,0
"PROV",0,-1.88032247081214,1.63469409359276,-0.0602024635355744,0.164008361868328
"SEXO",0,-0.376678922657966,0.292382806610529,0.136793123651166,0.0280685436682341
"EDAD",0,-0.196388585529765,0.523265214599369,0.449019001756012,0.286964956742928
"P1",0,1.1167737002847,1.37832030356633,1.52524019681124,0.139873155972583
"P2",0,1.00100150250438,-0.0940729193457544,0.540896250363329,0.046388797047668
"P3",0,0,0.770886962087929,0.677063130470592,0.0291591803944418
"P3A",0,1.48753188902653,-0.34419058187155,0.769066791181105,0.0877366953012478
"P5_1",0,-0.00858285714450486,2.88250985840808,2.59292653805315,0.32880559049299
"P5_2",0,4.87483322443925,-0.483976473359173,4.01388119546636,0.540159816774208
"P5_3",0,0.0168404842204765,0.935586840901611,0.656296221069819,0.321335708893646
"P5_4",0,-1.25833061050587,1.03534610499297,0.157804425144527,0.161113646104155
"P6_1",0,4.84738775905563,2.60042648265401,5.0753784050518,0.616994952003822
"P6_2",0,1.00100150250438,1.00100150250438,1.41558301166167,0.0253479880380737
"P6_3",0,-0.347256867218255,3.21381403601499,2.82870023363167,0.1591018978386
"P6_4",0,1.52745112019117,2.49098345110415,2.97158276534183,0.264138990969407
"P6_5",0,4.11478334616679,6.40866927889124,6.67196417322686,1.26627968928518
"P6_6",0,2.89860558887061,2.59899236327045,3.21071926208363,0.495589415978561
"P6_7",0,2.46838082623621,3.11575622635642,3.77765541453419,0.681743473504998
"P7",0,2.94549515706022,0.212334617231155,1.9315474370731,0.114473486608699
"P8",0,3.14201144712281,2.88098756291099,4.58545407470931,0.708547226696472
"P9",0,-0.884287471832376,-1.00100150250438,-1.30386230350211,0.0658365357380837
"P10",0,0,0,0,0.0181183852518185
"P11_1",0,1.07120306509229,2.60931158658913,2.3965644921773,0.155591827386072
"P11_2",0,0.296492605700201,0.853722127508603,0.818624651833055,0.318658572535628
"P11_3",0,3.73862819015653,5.98529094183068,6.44487535390294,1.26163313255504
"P11_4",0,2.97898617831372,0.25029966255712,2.50992654944963,0.242037590006385
"P11_5",0,2.48057024619014,1.56073812616354,2.48214653301813,0.278641799553998
"P11_6",0,1.62480432859745,2.23211631723377,2.16359008028077,0.099342589810152
"P11_7",0,-1.87772723775506,-1.03095249477388,-1.84369634684968,0.256204619567452
"P11_8",0,1.74496307655832,2.02845878276097,2.69484557226376,0.461899321517496
"P11_9",0,1.55675459176813,-0.465933897370955,1.15679548007627,0.226065216280598
"P12_1",0,2.98435010808605,4.58783423415839,5.06554582402166,1.04041624196524
"P12_2",0,4.14171385898272,4.51502906571175,5.95728005396175,1.67957324181835
"P12_3",0,2.97600898806538,2.93105847096552,3.64959254076219,0.307912330443048
"P12_4",0,4.77942434224766,4.71910627204858,6.1563255260923,1.2744573378109
"P12_5",0,1.96593138524006,5.02755101919306,5.06839946210927,0.738380141755184
"P12_6",0,5.24389672536873,4.51977659043325,6.33826203554682,1.06914488682892
"P12_7",0,6.06555104307597,4.05213263024428,6.59084351552738,1.81317015259346
"P12_8",0,3.67894707876159,4.22116139146777,4.66314168724803,0.797752617838183
"P12_9",0,2.93306012283039,2.59684332782454,4.1642014527564,0.53023582317128
"P12_10",0,0.496745098708922,-0.966277314707022,-0.188498752136645,0.163883215355083
"P12_11",0,-1.624176791338,1.21656455874683,-0.470968187458688,0.173498156754442
"P12_12",0,3.25958025329791,4.54068300846193,5.14437671218811,1.00510311508674
"P12_13",0,2.52120476539293,3.06289843428415,3.66870141533833,0.881938771190491
"P12_14",0,0.60832707254424,0.570944899962878,0.55356608284791,0.184879745082564
"P12_15",0,2.89628887021186,-0.648090682815866,1.62635355019999,0.258172946978125
"P14A",0,0.194330365982362,1.29604529670349,1.67152508982559,0.102414666641683
"P14B",0,2.40171666777049,2.58927119214028,3.44966199689344,0.368839707643366
"P16A",0,-0.72799238491593,1.1180765755801,0.737503825450648,0.0534651262376208
"P16B",0,-1.52027788252172,-0.150031905156018,-1.17336857130171,0.130084622779681
"P18",0,-0.784850168611388,-1.062612846424,-1.23821348715417,0.0433689118302548
"P26",0,-2.39775674056157,0,-2.33415281667035,0.0565155270276754
"P27",0,0,0,0,0.00371428571428572
"P28",0,-1.00100150250438,0,-1.00100150250438,0.0193135531135531
"P29",0,0,0,0,0.0113333333333333
"P30",0,0,0,0,0
"P13_dolores",0,0.27366392905566,-0.499970686222849,-0.129597562916861,0.124038278284045
"impacto_raw",0,15.780241036707,15.4844154460722,17.0766693618554,6.0172891604824
